cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      769            1190       0   0.002  0.190   1264     1.682          54.2        38.4       164.2      32.0      53.8
      770            1190       0   0.001  0.278    960     3.364          54.4        40.0       165.6      16.0      53.8
      771            1166       0   0.000  0.016     76     2.594          73.0        57.0       130.0      17.4      45.3
      772            1181       0   0.038  0.108    336     1.297           1.2        96.4        97.6      16.0      20.7
      773            1189       0   0.006  0.235    520     1.189          30.6        79.4       110.0      24.7      20.7
      774            1152       1   0.049  0.239   3052     1.189           3.1        81.8        84.9      26.9      32.0
      775            1181       0   0.007  0.201    560     1.189          24.5        71.3        95.9      24.7      20.7
      776            1152       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      777            1152       0   0.028  0.046    504     1.682           0.0        80.0        80.0      19.0      32.0
      778            1152       0   0.005  0.065    688     2.000           5.8        94.9       100.7      16.0      32.0
      779            1162       0   0.002  0.254   1436     2.828          53.7       129.6        75.9      19.0      53.8
      780            1175       0   0.004  0.378   1004     2.181          43.8        23.8       160.0      22.6      49.4
      781            1162       0   0.000  0.079    428     3.364          70.7       150.0        79.3      16.0      53.8
      782            1159       0   0.006  0.287   1164     1.542          28.7       139.5       110.8      16.0      24.7
      783            1166       0   0.002  0.141    708     1.542          55.2        73.4       128.7      29.3      45.3
      784            1192       0   0.000  0.115    540     3.364          86.0       126.0        40.0      19.0      64.0
      785            1179       0   0.007  0.308    876     1.414          29.2        80.8       110.0      19.0      26.9
      786            1179       0   0.002  0.253    484     1.414          89.3        19.3       110.0      19.0      26.9
      787            1152       0   0.001  0.073    760     1.612          52.8        40.0        92.8      16.0      25.8
