Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   4.268541e+02    16.30%
   2    7   3.559368e+02    13.60%
   3    2   2.865291e+02    10.94%
   4    0   2.633064e+02    10.06%
   5    5   2.482213e+02     9.48%
   6    3   2.475481e+02     9.46%
   7    4   1.938253e+02     7.40%
   8    9   1.005331e+02     3.84%
   9   14   9.215438e+01     3.52%
  10   10   8.643625e+01     3.30%
  11   13   7.736705e+01     2.96%
  12    6   7.303122e+01     2.79%
  13   12   6.613229e+01     2.53%
  14   11   5.174713e+01     1.98%
  15   15   4.758389e+01     1.82%
  16    8   7.808718e-01     0.03%
