Cluster power ranking (clustered only)

name = rednoise4
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 4.0

rank  kcl      P_abs           P_pct
   1    0   5.096287e+04    35.82%
   2    2   2.929636e+04    20.59%
   3    6   1.898302e+04    13.34%
   4    1   1.450762e+04    10.20%
   5    7   9.269762e+03     6.52%
   6    9   6.009532e+03     4.22%
   7    8   4.449909e+03     3.13%
   8    5   3.629373e+03     2.55%
   9    3   1.709901e+03     1.20%
  10   12   1.454426e+03     1.02%
  11   10   8.376469e+02     0.59%
  12    4   6.504150e+02     0.46%
  13   11   5.052807e+02     0.36%
