image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,22.959022921564973,4.227793794517396,75.20046978400974,8.225574010156256,-0.5311365961974508,0.15621726287890492,0.7671125152745768,1.0,0.7476937194056446,0.1256605127203534,-0.5332533441733661
1,23.019515577070223,4.228989867771765,75.08802974111147,8.2342899099318,-0.5464848822633657,0.13639346327759516,0.752739361816892,1.0,0.7662395236973936,0.15353366528218904,-0.5063351793034561
2,22.98795004892464,4.2321162451801575,75.14527426172991,8.257967200347135,-0.550879115462884,0.13274003598680761,0.7517581396370927,1.0,0.763356243837062,0.14487749443103137,-0.5168853405174401
3,22.9507513755949,4.1945821044735485,75.12829874831304,8.259519710038555,-0.5664029466652556,0.11521351263796031,0.7408755291635083,0.9996560596791664,0.770821780468737,0.15581766611132597,-0.5094610457599908
4,22.91661709725285,4.238029961953196,75.12204027749488,8.256946689871507,-0.5614894276775289,0.12155265721234909,0.7448274692221128,0.999567839408612,0.7688045160103001,0.15023923423355856,-0.5126747312507648
5,22.933884492367994,4.249282794582853,75.23356687134256,8.312374572208931,-0.5594335119044868,0.12350445444092517,0.7465242200317308,0.9991369373490528,0.76302917083126,0.14294276709284204,-0.5188471883021213
6,22.910225931001214,4.242804568301646,75.32413379294418,8.325489141569877,-0.5553736591518663,0.1287168158914067,0.749601750268841,0.9990680298907553,0.7618721843394693,0.13877582742231476,-0.5215591030376876
7,22.89473377974781,4.244634449480216,75.3552633187584,8.330504556098314,-0.5567746771170906,0.12755409252774008,0.7487811279148919,0.9989186069279521,0.7634276904740138,0.14168968902058277,-0.5179452565674274
8,22.78801642487372,4.279425008939119,75.4376283013155,8.321167132017962,-0.5628287756194496,0.12226937185876086,0.74640148863237,0.9984712095115604,0.7622395701508609,0.13756584009139305,-0.5229388409422482
9,22.780302861519143,4.284527003899886,75.46802640451708,8.334141830299515,-0.563208579988479,0.12088291735467882,0.7445744773792335,0.9983665974849649,0.7656054667650776,0.1461459133383367,-0.5149553028618653
10,22.727585742027593,4.3296469816150855,75.84139097184263,8.287719122868104,-0.5640871725762253,0.12197691850316161,0.7465696933858159,0.9984144712722802,0.7619086264978963,0.13549093551348412,-0.5253972808749408
11,22.663272889134138,4.3289986075073745,75.96677418509817,8.270359916263605,-0.5737713676839987,0.1125565856644124,0.7419478638043446,0.9984017280629096,0.7633288793570296,0.13230731985235766,-0.531187112641806
