angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
0.000000000000000000e+00,2.600037943464238166e-02,-5.482830582432169503e-02,3.846097717587998233e+01,6.410162862646664053e+02,8.620045145864908553e-01,2.510000000000000000e+02,2.600037943464238166e-02,-5.482830582432169503e-02,3.846097717587998233e+01,6.410162862646664053e+02,8.620045145864908553e-01,2.510000000000000000e+02
5.000000000000000000e+00,2.540390817681654340e-02,3.794346423828729147e-03,3.936402198590034374e+01,6.560670330983390386e+02,8.154136695568148241e-01,2.510000000000000000e+02,2.540390817681654340e-02,3.794346423828729147e-03,3.936402198590034374e+01,6.560670330983390386e+02,8.154136695568148241e-01,2.510000000000000000e+02
1.000000000000000000e+01,2.495010434452665446e-02,-7.493834187061264307e-02,4.007999270028590644e+01,6.679998783380983696e+02,8.248313150597545995e-01,2.510000000000000000e+02,2.495010434452665446e-02,-7.493834187061264307e-02,4.007999270028590644e+01,6.679998783380983696e+02,8.248313150597545995e-01,2.510000000000000000e+02
1.500000000000000000e+01,2.574843483210017062e-02,-3.130335799658460344e-02,3.883731211317418541e+01,6.472885352195697806e+02,8.580289506399192412e-01,2.510000000000000000e+02,2.574843483210017062e-02,-3.130335799658460344e-02,3.883731211317418541e+01,6.472885352195697806e+02,8.580289506399192412e-01,2.510000000000000000e+02
2.000000000000000000e+01,2.537051792828685232e-02,-7.171314741035833551e-02,3.941582914572864382e+01,6.569304857621441442e+02,8.685903779620079979e-01,2.510000000000000000e+02,2.537051792828685232e-02,-7.171314741035833551e-02,3.941582914572864382e+01,6.569304857621441442e+02,8.685903779620079979e-01,2.510000000000000000e+02
2.500000000000000000e+01,2.582735723771580408e-02,-3.041168658698532590e-01,3.871863430686960328e+01,6.453105717811599789e+02,8.991843978568245799e-01,2.510000000000000000e+02,2.582735723771580408e-02,-3.041168658698532590e-01,3.871863430686960328e+01,6.453105717811599789e+02,8.991843978568245799e-01,2.510000000000000000e+02
3.000000000000000000e+01,2.280857522291785192e-02,-2.693985960918227063e-01,4.384315943571998986e+01,7.307193239286664266e+02,8.494055009571951365e-01,2.510000000000000000e+02,2.280857522291785192e-02,-2.693985960918227063e-01,4.384315943571998986e+01,7.307193239286664266e+02,8.494055009571951365e-01,2.510000000000000000e+02
3.500000000000000000e+01,2.407285145133750831e-02,-3.318155947638014580e-01,4.154057121240779082e+01,6.923428535401297950e+02,8.014173611376581574e-01,2.510000000000000000e+02,2.407285145133750831e-02,-3.318155947638014580e-01,4.154057121240779082e+01,6.923428535401297950e+02,8.014173611376581574e-01,2.510000000000000000e+02
4.000000000000000000e+01,1.900967558338076402e-02,2.771770062606722651e-01,5.260479041916167375e+01,8.767465069860279527e+02,8.086893485404987869e-01,2.510000000000000000e+02,1.900967558338076402e-02,2.771770062606722651e-01,5.260479041916167375e+01,8.767465069860279527e+02,8.086893485404987869e-01,2.510000000000000000e+02
4.500000000000000000e+01,2.009637639916524166e-02,1.333712767975718805e-01,4.976021448531078306e+01,8.293369080885130415e+02,7.786938172741464381e-01,2.510000000000000000e+02,2.009637639916524166e-02,1.333712767975718805e-01,4.976021448531078306e+01,8.293369080885130415e+02,7.786938172741464381e-01,2.510000000000000000e+02
