Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 5077275
n_zero_after_scaled  = 21202090
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0024216604039416414
WPS_scaled min       = -0.9227352513326917
WPS_scaled median    = 4.781351102123531e-17
WPS_scaled max       = 122.08644388015834
