distance_km,best_shift_minutes,maximum_correlation
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.999985533940036753e-01
2.000000000000000000e+00,0.000000000000000000e+00,9.999948998133040279e-01
3.000000000000000000e+00,0.000000000000000000e+00,9.999898318317042012e-01
4.000000000000000000e+00,0.000000000000000000e+00,9.999839008806622465e-01
5.000000000000000000e+00,0.000000000000000000e+00,9.999777679019601351e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.999721517407911264e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.999669998122336922e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.999610685381987718e-01
9.000000000000000000e+00,0.000000000000000000e+00,9.999530090126622639e-01
1.000000000000000000e+01,0.000000000000000000e+00,9.999428709246672708e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.999323060148077591e-01
1.200000000000000000e+01,0.000000000000000000e+00,9.999234773067415816e-01
1.300000000000000000e+01,0.000000000000000000e+00,9.999177381218010696e-01
1.400000000000000000e+01,0.000000000000000000e+00,9.999148404314252003e-01
1.500000000000000000e+01,0.000000000000000000e+00,9.999131834394716645e-01
1.600000000000000000e+01,0.000000000000000000e+00,9.999110982924128699e-01
1.700000000000000000e+01,0.000000000000000000e+00,9.999081571565084925e-01
1.800000000000000000e+01,0.000000000000000000e+00,9.999054128803877006e-01
1.900000000000000000e+01,0.000000000000000000e+00,9.999044883716566856e-01
2.000000000000000000e+01,0.000000000000000000e+00,9.999062232898556779e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.999098494121805292e-01
2.200000000000000000e+01,0.000000000000000000e+00,9.999133484361888424e-01
2.300000000000000000e+01,0.000000000000000000e+00,9.999147057219565093e-01
2.400000000000000000e+01,0.000000000000000000e+00,9.999130064689049080e-01
2.500000000000000000e+01,0.000000000000000000e+00,9.999085825636115921e-01
2.600000000000000000e+01,0.000000000000000000e+00,9.999023818447051459e-01
2.700000000000000000e+01,0.000000000000000000e+00,9.998952957103799388e-01
2.800000000000000000e+01,0.000000000000000000e+00,9.998880230912634559e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.998813354950154553e-01
3.000000000000000000e+01,0.000000000000000000e+00,9.998761348615038402e-01
3.100000000000000000e+01,0.000000000000000000e+00,9.998729832924850847e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.998715034488022679e-01
3.300000000000000000e+01,0.000000000000000000e+00,9.998704581528737867e-01
3.400000000000000000e+01,0.000000000000000000e+00,9.998685994710129199e-01
3.500000000000000000e+01,0.000000000000000000e+00,9.998653972889135488e-01
3.600000000000000000e+01,0.000000000000000000e+00,9.998609422043610584e-01
3.700000000000000000e+01,0.000000000000000000e+00,9.998554802465896563e-01
3.800000000000000000e+01,0.000000000000000000e+00,9.998492858901675273e-01
3.900000000000000000e+01,0.000000000000000000e+00,9.998425366882667253e-01
4.000000000000000000e+01,0.000000000000000000e+00,9.998350160465080405e-01
4.100000000000000000e+01,0.000000000000000000e+00,9.998264119976763009e-01
4.200000000000000000e+01,0.000000000000000000e+00,9.998170856669135187e-01
4.300000000000000000e+01,0.000000000000000000e+00,9.998082576087473639e-01
4.400000000000000000e+01,0.000000000000000000e+00,9.998012378882322748e-01
4.500000000000000000e+01,0.000000000000000000e+00,9.997961331422088316e-01
4.600000000000000000e+01,0.000000000000000000e+00,9.997912098965051619e-01
