angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
0.000000000000000000e+00,1.887611458926199623e-02,1.345095807247207453e-01,5.297700410066737220e+01,8.829500683444562128e+02,8.463849687418777412e-01,2.510000000000000000e+02,1.887611458926199623e-02,1.345095807247207453e-01,5.297700410066737220e+01,8.829500683444562128e+02,8.463849687418777412e-01,2.510000000000000000e+02
5.000000000000000000e+00,2.166420034149117713e-02,8.081957882754746414e-02,4.615910046237915054e+01,7.693183410396525232e+02,8.592137543646576336e-01,2.510000000000000000e+02,2.166420034149117713e-02,8.081957882754746414e-02,4.615910046237915054e+01,7.693183410396525232e+02,8.592137543646576336e-01,2.510000000000000000e+02
1.000000000000000000e+01,2.305596660975147219e-02,-6.924682223486965105e-02,4.337272068988216489e+01,7.228786781647028192e+02,8.645853696002396838e-01,2.510000000000000000e+02,2.305596660975147219e-02,-6.924682223486965105e-02,4.337272068988216489e+01,7.228786781647028192e+02,8.645853696002396838e-01,2.510000000000000000e+02
1.500000000000000000e+01,2.602162777461582144e-02,-1.291974957313596628e-01,3.842957130358705342e+01,6.404928550597841195e+02,9.149998599256672360e-01,2.510000000000000000e+02,2.602162777461582144e-02,-1.291974957313596628e-01,3.842957130358705342e+01,6.404928550597841195e+02,9.149998599256672360e-01,2.510000000000000000e+02
2.000000000000000000e+01,2.635553025991273224e-02,-1.157275659267624490e-02,3.794270083501295687e+01,6.323783472502159384e+02,9.163205507467018229e-01,2.510000000000000000e+02,2.635553025991273224e-02,-1.157275659267624490e-02,3.794270083501295687e+01,6.323783472502159384e+02,9.163205507467018229e-01,2.510000000000000000e+02
2.500000000000000000e+01,2.614760007588693216e-02,-2.542212103965021952e-02,3.824442767587647296e+01,6.374071279312745446e+02,9.191638570298212851e-01,2.510000000000000000e+02,2.614760007588693216e-02,-2.542212103965021952e-02,3.824442767587647296e+01,6.374071279312745446e+02,9.191638570298212851e-01,2.510000000000000000e+02
3.000000000000000000e+01,2.567103016505407204e-02,2.618099032441673080e-02,3.895441645973749445e+01,6.492402743289582077e+02,9.149413249029757500e-01,2.510000000000000000e+02,2.567103016505407204e-02,2.618099032441673080e-02,3.895441645973749445e+01,6.492402743289582077e+02,9.149413249029757500e-01,2.510000000000000000e+02
3.500000000000000000e+01,2.739518118004173608e-02,-6.070954278125563312e-03,3.650277008310249727e+01,6.083795013850416353e+02,9.164936650463588741e-01,2.510000000000000000e+02,2.739518118004173608e-02,-6.070954278125563312e-03,3.650277008310249727e+01,6.083795013850416353e+02,9.164936650463588741e-01,2.510000000000000000e+02
4.000000000000000000e+01,2.610965661164864338e-02,1.227471068108526575e-01,3.830000581293960238e+01,6.383334302156600870e+02,9.152481741779354696e-01,2.510000000000000000e+02,2.610965661164864338e-02,1.227471068108526575e-01,3.830000581293960238e+01,6.383334302156600870e+02,9.152481741779354696e-01,2.510000000000000000e+02
4.500000000000000000e+01,2.775488522102068090e-02,2.358186302409410740e-01,3.602969322469513713e+01,6.004948870782523045e+02,9.143600001093684648e-01,2.510000000000000000e+02,2.775488522102068090e-02,2.358186302409410740e-01,3.602969322469513713e+01,6.004948870782523045e+02,9.143600001093684648e-01,2.510000000000000000e+02
5.000000000000000000e+01,2.727224435590969512e-02,2.005312084993361166e-01,3.666731593299571301e+01,6.111219322165951553e+02,9.162157335955267712e-01,2.510000000000000000e+02,2.727224435590969512e-02,2.005312084993361166e-01,3.666731593299571301e+01,6.111219322165951553e+02,9.162157335955267712e-01,2.510000000000000000e+02
5.500000000000000000e+01,2.680781635363308629e-02,6.734964902295630107e-02,3.730255336013134837e+01,6.217092226688558867e+02,9.184708000294399266e-01,2.510000000000000000e+02,2.680781635363308629e-02,6.734964902295630107e-02,3.730255336013134837e+01,6.217092226688558867e+02,9.184708000294399266e-01,2.510000000000000000e+02
6.000000000000000000e+01,2.596091823183456493e-02,1.384936444697442391e-02,3.851943876059631577e+01,6.419906460099385868e+02,9.154328172347818704e-01,2.510000000000000000e+02,2.596091823183456493e-02,1.384936444697442391e-02,3.851943876059631577e+01,6.419906460099385868e+02,9.154328172347818704e-01,2.510000000000000000e+02
6.500000000000000000e+01,2.747713906279643237e-02,-1.836463669132988030e-01,3.639389085285019831e+01,6.065648475475032910e+02,9.253199852063906938e-01,2.510000000000000000e+02,2.747713906279643237e-02,-1.836463669132988030e-01,3.639389085285019831e+01,6.065648475475032910e+02,9.253199852063906938e-01,2.510000000000000000e+02
7.000000000000000000e+01,2.628419654714475237e-02,-1.301460823373171427e-01,3.804567502021019010e+01,6.340945836701698681e+02,9.205606119204159388e-01,2.510000000000000000e+02,2.628419654714475237e-02,-1.301460823373171427e-01,3.804567502021019010e+01,6.340945836701698681e+02,9.205606119204159388e-01,2.510000000000000000e+02
7.500000000000000000e+01,2.457825839499146181e-02,-1.001707455890719078e-01,4.068636532048907384e+01,6.781060886748178973e+02,9.017176278844268866e-01,2.510000000000000000e+02,2.457825839499146181e-02,-1.001707455890719078e-01,4.068636532048907384e+01,6.781060886748178973e+02,9.017176278844268866e-01,2.510000000000000000e+02
8.000000000000000000e+01,2.124985771200910492e-02,-5.065452475810993532e-02,4.705913863295479160e+01,7.843189772159131508e+02,8.599416595380666717e-01,2.510000000000000000e+02,2.124985771200910492e-02,-5.065452475810993532e-02,4.705913863295479160e+01,7.843189772159131508e+02,8.599416595380666717e-01,2.510000000000000000e+02
8.500000000000000000e+01,2.138493644469740065e-02,-4.261051033959398771e-01,4.676188786373314343e+01,7.793647977288857192e+02,8.801525973018384796e-01,2.510000000000000000e+02,2.138493644469740065e-02,-4.261051033959398771e-01,4.676188786373314343e+01,7.793647977288857192e+02,8.801525973018384796e-01,2.510000000000000000e+02
9.000000000000000000e+01,1.966685638398785532e-02,-5.539745778789602060e-01,5.084696712455626511e+01,8.474494520759377565e+02,8.761934192777434127e-01,2.510000000000000000e+02,1.966685638398785532e-02,-5.539745778789602060e-01,5.084696712455626511e+01,8.474494520759377565e+02,8.761934192777434127e-01,2.510000000000000000e+02
9.500000000000000000e+01,1.581331815594764004e-02,-3.113261240751279413e-01,6.323783472502158531e+01,1.053963912083693231e+03,7.701024102154827577e-01,2.510000000000000000e+02,1.581331815594764004e-02,-3.113261240751279413e-01,6.323783472502158531e+01,1.053963912083693231e+03,7.701024102154827577e-01,2.510000000000000000e+02
1.000000000000000000e+02,1.207057484348320921e-02,-3.471826977803053188e-02,8.284609581290079916e+01,1.380768263548346567e+03,6.794303438496986924e-01,2.510000000000000000e+02,1.207057484348320921e-02,-3.471826977803053188e-02,8.284609581290079916e+01,1.380768263548346567e+03,6.794303438496986924e-01,2.510000000000000000e+02
1.050000000000000000e+02,1.103699487763232928e-02,-1.206602162777458687e-01,9.060437293729371788e+01,1.510072882288228811e+03,6.855014874876041997e-01,2.510000000000000000e+02,1.103699487763232928e-02,-1.206602162777458687e-01,9.060437293729371788e+01,1.510072882288228811e+03,6.855014874876041997e-01,2.510000000000000000e+02
1.100000000000000000e+02,8.678429140580534717e-03,-2.959590210586224290e-01,1.152282266526757581e+02,1.920470444211262702e+03,4.138569150148097009e-01,2.510000000000000000e+02,8.678429140580534717e-03,-2.959590210586224290e-01,1.152282266526757581e+02,1.920470444211262702e+03,4.138569150148097009e-01,2.510000000000000000e+02
1.150000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.960000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.960000000000000000e+02
1.200000000000000000e+02,-6.410927717700625784e-03,3.949914627205462492e-01,-1.559836647727272805e+02,-2.599727746212121474e+03,3.331872268907563051e-01,2.510000000000000000e+02,-6.410927717700625784e-03,3.949914627205462492e-01,-1.559836647727272805e+02,-2.599727746212121474e+03,3.331872268907563051e-01,2.510000000000000000e+02
1.250000000000000000e+02,-1.119939290457218697e-02,6.509201290077781810e-01,-8.929055427564711067e+01,-1.488175904594118492e+03,7.027619047619046988e-01,2.510000000000000000e+02,-1.119939290457218697e-02,6.509201290077781810e-01,-8.929055427564711067e+01,-1.488175904594118492e+03,7.027619047619046988e-01,2.510000000000000000e+02
1.300000000000000000e+02,-1.193701384936444662e-02,5.279833048757349712e-01,-8.377304513668150321e+01,-1.396217418944691644e+03,7.490476190476191842e-01,2.510000000000000000e+02,-1.193701384936444662e-02,5.279833048757349712e-01,-8.377304513668150321e+01,-1.396217418944691644e+03,7.490476190476191842e-01,2.510000000000000000e+02
1.350000000000000000e+02,-1.618971732119142345e-02,5.018023145513179628e-01,-6.176760101246836854e+01,-1.029460016874472785e+03,6.982831429369222853e-01,2.510000000000000000e+02,-1.618971732119142345e-02,5.018023145513179628e-01,-6.176760101246836854e+01,-1.029460016874472785e+03,6.982831429369222853e-01,2.510000000000000000e+02
