Red noise filter diagnostics

name                = amp0p15
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 21060000
n_zero_after_white   = 13186791
n_zero_after_scaled  = 15744251
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0
WPS_scaled min       = -0.6744907594765952
WPS_scaled median    = 0.0
WPS_scaled max       = 90.77353409954594
