cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       47             288       1   0.099  0.458   2416     1.189           2.9       169.6       166.7      26.9      22.6
       48             285       1   0.301  0.623   4748     1.189           0.7         2.3         3.0      29.3      24.7
       49             297       1   0.176  0.455   5924     1.091           1.4       159.7       161.1      64.0      69.8
       50             332       1   0.097  0.348    800     1.189           2.0       162.2       164.2      19.0      22.6
       51             416       0   0.004  0.011     44     2.594           0.0       100.0       100.0      19.0      49.4
       52             265       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       53             265       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       54             265       1   0.068  0.534  28860     1.000           6.8        21.6        28.4     107.6     107.6
       55             538       0   0.004  0.237    660     1.189          50.5       102.8       153.3      26.9      22.6
