image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,23.230306203945595,2.7897906222684967,86.46026972270073,7.437092986643992,-0.08540849489430791,0.42842891531396177,0.8279560698791042,1.0,0.8948102939836136,0.5025297544349037,0.00509680988780481
1,23.462240503833513,2.5941482271103773,86.81519220392988,8.280468304897083,-0.0022992861881114823,0.4789864533914798,0.8441520110822951,0.9999355677105977,0.8620898862887216,0.5196749588479437,0.03008430881476487
2,23.588117291166135,2.5928368605101815,87.15021816763483,8.60646082826707,0.053526293410465886,0.5532277712548379,0.9126413838353888,0.9988314261163997,0.8316666258601162,0.45509947405038464,-0.04572444625306704
3,23.303072813362878,2.7724403782717046,87.53246536782738,8.667574328076556,0.09457008809502043,0.5722433744820039,0.8795706738056841,0.996349609166495,0.8693759088552886,0.45686931147320564,-0.050323580010900204
4,23.279001443998702,2.7917024798914962,87.54918130551359,8.541773003918758,0.05071450207522599,0.5001892526000464,0.8273063917265775,0.9534664073612955,0.8071782454665997,0.44414171793966184,-0.029036858239852248
5,23.238002355398297,2.852443709363761,88.00120326215179,8.658713257647785,0.11564085200156082,0.5755624921035425,0.8996532908320127,0.9976715017016629,0.7829936639472679,0.3928495761551527,-0.08638024512850861
6,23.526971511908222,2.530858868748059,85.36694655678396,6.669796387953825,0.0768221387816106,0.5483551633139649,0.8819944527150121,0.9996772640671918,0.8698461970188232,0.4940979714712943,-0.013735660905571212
7,23.52074033702327,2.623151913697896,84.97127743406453,6.499925139395939,0.08857842009846917,0.5639507270522297,0.8947876419074423,0.9996197816495043,0.8475413809695038,0.44860370533404903,-0.06660991209684541
8,23.471737996753205,2.6284604732014425,84.97108461579316,6.44368649518555,0.10548110592386517,0.5812558719612129,0.9056070421158151,0.9982104471740201,0.8314831862134275,0.38393115063644845,-0.11766925565557762
9,23.165944865589307,2.6644714239987297,86.86609543927256,7.617422560968742,0.105852292622161,0.6050276581900123,0.9271019636054134,1.0,0.7299422654462,0.29181791759980436,-0.2088841255657251
10,23.294729916706185,2.767121178145341,87.73916856331681,8.780190338455315,0.18393446596915042,0.6415662686674666,0.9883186342565169,0.9292905452704716,0.7202390634211713,0.27580353369596144,-0.251096641642495
11,23.28667812823373,2.7061436661728844,86.80075258943873,9.185746521297233,0.19429562547536294,0.6778483802457176,0.9164983477314963,1.0,0.8138272456555171,0.4031145831859977,-0.12059551113139422
12,23.263367401313854,2.7392926120127705,85.74057795223816,7.797217516707291,0.20939825126126688,0.6711539933249919,0.9400469346807676,0.9977048889414626,0.7852870909183114,0.3723593707771644,-0.17239953245803386
13,23.40803247520844,2.5428062715638076,83.97260920966868,4.912726791658786,0.11769393550805307,0.5953137782877413,0.9150294846137015,0.9962305923681218,0.8156102969898,0.39848140840921653,-0.11987644743977033
14,23.388016655828242,2.5432326531977156,83.92680313850941,4.901714863969088,0.12758825386413597,0.6043609457107251,0.9199633184038396,0.9952460343301388,0.8087900604323399,0.39102715720764847,-0.12616455070057253
15,23.353190407879293,2.5519432316931674,83.86778522229383,4.889096113280734,0.15241679303478395,0.6239227638002338,0.9302630854856404,0.9944419437628467,0.7951495564929465,0.3681945547057053,-0.1545912870612698
16,23.03888225542985,2.8862417512352376,86.39635481617867,8.275188387947955,0.1827429689402209,0.6191121489912406,0.9543583107048801,0.9971005790773604,0.7664514449852871,0.3013122104180761,-0.2015737671102097
17,23.42263799563455,2.5129890355230255,87.14234942561129,9.650261598035996,0.2699352117687739,0.6659858072391538,0.9548504331840131,0.9958429980340799,0.7634000466768744,0.3209494606241068,-0.20904154496548455
18,23.239145258656947,2.6247522331603834,86.96555782468339,7.599020047478686,0.41112204608217473,0.784591828882266,0.9794850390645127,0.9504617472423496,0.6491601330422376,0.18513483693657085,-0.29299468977012133
19,23.066926883402765,2.6666872450543426,83.71524450736874,4.851142834114816,0.3725990620798434,0.7710827656868433,0.9866131268633818,0.9695657043481203,0.7073752756273097,0.22839709103159844,-0.2887707418752872
20,23.109981673795197,2.620607936060045,83.82724008678832,4.8829149540766075,0.31430422894778665,0.7376302166899908,0.9774971472471314,0.9742401089260055,0.7155980489929881,0.24259433241173345,-0.28269237302824457
21,23.33206756406267,2.61783518087731,85.00220451403153,7.5955701026229185,0.3789328472827882,0.7740602243764705,0.9837510787866404,0.9573099430899505,0.6709410218819831,0.20162661595424813,-0.3137830212946935
22,23.251846537157995,2.3612364375043233,86.3809575772323,7.51103453925045,0.41222062412497107,0.7828108986856828,0.9699813659746237,0.8935714925238512,0.5700367174873309,0.08973773954215125,-0.4138734158027777
23,23.25128646095251,2.55053641475163,83.54722650382291,4.807943017574978,0.33215998011003656,0.7617107026712495,0.982729524082733,0.9384172990716386,0.6344767573201497,0.15917767562185325,-0.35818527643347653
24,23.337373033690028,2.3325494667543283,86.30202087527789,7.662700106552217,0.3641182236573457,0.7810450377951077,0.9789110790297901,0.9063555062389925,0.5883577164620284,0.11130275187905236,-0.3952831585058889
