cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
     1302            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1303            1375       0   0.017  0.486   1448     1.297          21.1        68.4        47.3      29.3      38.1
     1304            1369       0   0.002  0.206    608     2.000          55.8        19.6        75.4      19.0      38.1
     1305            1367       1   0.022  0.291    436     1.000          12.0        87.8        99.8      29.3      29.3
     1306            1368       0   0.000  0.007    148     6.727          54.3        25.7        80.0      16.0     107.6
     1307            1369       0   0.002  0.145    452     1.542          57.7       130.3        72.5      24.7      38.1
     1308            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1309            1369       0   0.004  0.200    760     1.091          48.3        26.6        75.0      41.5      38.1
     1310            1375       0   0.018  0.099    560     1.414           2.8        40.0        42.8      26.9      38.1
     1311            1372       0   0.005  0.029    152     4.757           0.3        80.0        79.7      16.0      76.1
     1312            1382       0   0.001  0.105    812     2.594          37.0        83.8        46.8      29.3      76.1
     1313            1369       1   0.006  0.094    800     1.091          13.8        90.0        76.2      41.5      38.1
     1314            1379       1   0.104  0.104    152     1.000           0.0        80.0        80.0      17.4      17.4
     1315            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1316            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1317            1369       1   0.016  0.239    796     1.000          14.2        90.4        76.2      38.1      38.1
     1318            1379       0   0.006  0.500    176     1.091          80.0         0.0        80.0      16.0      17.4
     1319            1366       0   0.000  0.036    464     4.362          60.4       119.3        58.9      16.0      69.8
     1320            1379       0   0.267  0.412     84     1.542           0.0        80.0        80.0      26.9      17.4
     1321            1375       0   0.009  0.193    604     1.297          15.3        30.0        45.3      29.3      38.1
     1322            1364       0   0.001  0.046   1336     2.181          15.6        59.8        75.3      24.7      53.8
     1323            1369       1   0.008  0.107    280     1.189          10.0        60.0        70.0      32.0      38.1
     1324            1376       0   0.005  0.233    924     3.084          13.0        82.0        69.0      16.0      49.4
     1325            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1326            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1327            1372       0   0.001  0.050    232     4.757          10.0        88.6        78.6      16.0      76.1
     1328            1369       0   0.000  0.015     20     2.378          86.0       164.0        70.0      16.0      38.1
     1329            1364       1   0.067  0.232   6628     1.091           2.2        70.1        68.0      83.0      76.1
     1330            1381       0   0.001  0.174   1412     3.084          84.0         4.0       100.0      24.7      76.1
     1331            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1332            1382       0   0.001  0.111    732     3.084          47.2        93.2        46.0      24.7      76.1
     1333            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1334            1381       0   0.000  0.032    260     4.757          90.0        10.0       100.0      16.0      76.1
     1335            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1336            1375       0   0.002  0.149    220     2.378          29.3        73.6        44.4      16.0      38.1
     1337            1376       0   0.003  0.315   1060     2.594          39.1       109.1        70.0      19.0      49.4
     1338            1377       0   0.005  0.028    184     2.000           1.9       121.9       120.0      32.0      64.0
     1339            1374       0   0.003  0.246   6564     2.181          34.2        84.2        50.0      53.8     117.4
     1340            1375       0   0.050  0.302    564     1.542           2.9        40.0        42.9      24.7      38.1
     1341            1366       0   0.004  0.444   5868     2.594          37.8        94.4        56.6      26.9      69.8
     1342            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1343            1366       0   0.001  0.163   2076     2.828          52.2         5.9        58.1      22.6      64.0
     1344            1376       0   0.005  0.113    584     1.356          17.1        85.7        68.6      34.9      47.3
     1345            1377       0   0.103  0.159   1200     1.542           0.0       120.0       120.0      98.7      64.0
     1346            1381       0   0.001  0.137   1096     3.084          70.0       170.0       100.0      24.7      76.1
     1347            1381       0   0.000  0.069    556     3.364          81.8         1.8       100.0      22.6      76.1
     1348            1364       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
     1349            1375       0   0.057  0.275    564     1.297           2.8        40.1        42.9      29.3      38.1
