Cluster power ranking (clustered only)

name = amp1p0
MIN_AMP = 1.0
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   6.464853e+04    16.49%
   2   12   3.253571e+04     8.30%
   3    8   2.400063e+04     6.12%
   4    7   2.379769e+04     6.07%
   5    4   2.330779e+04     5.95%
   6    2   1.848495e+04     4.72%
   7   11   1.835752e+04     4.68%
   8   18   1.571294e+04     4.01%
   9    5   1.455302e+04     3.71%
  10    1   1.403345e+04     3.58%
  11   19   1.132872e+04     2.89%
  12   10   9.933553e+03     2.53%
  13   15   9.639715e+03     2.46%
  14    6   8.251571e+03     2.11%
  15   23   8.153912e+03     2.08%
  16   29   8.144045e+03     2.08%
  17   17   7.550670e+03     1.93%
  18   34   7.159240e+03     1.83%
  19   27   6.214342e+03     1.59%
  20   13   5.914275e+03     1.51%
  21   41   5.504333e+03     1.40%
  22    3   5.264572e+03     1.34%
  23   20   5.125824e+03     1.31%
  24   28   4.908830e+03     1.25%
  25   40   4.563576e+03     1.16%
  26   14   4.398726e+03     1.12%
  27   33   4.201954e+03     1.07%
  28   43   3.061220e+03     0.78%
  29   46   2.578417e+03     0.66%
  30   45   2.124226e+03     0.54%
  31   16   2.067570e+03     0.53%
  32    9   1.817771e+03     0.46%
  33   25   1.721442e+03     0.44%
  34   37   1.566732e+03     0.40%
  35   32   1.508903e+03     0.38%
  36   30   1.489178e+03     0.38%
  37   35   1.381581e+03     0.35%
  38   24   1.375002e+03     0.35%
  39   26   1.278160e+03     0.33%
  40   44   1.023425e+03     0.26%
  41   42   8.843263e+02     0.23%
  42   36   6.613601e+02     0.17%
  43   22   4.521770e+02     0.12%
  44   39   4.110230e+02     0.10%
  45   31   3.307143e+02     0.08%
  46   38   3.111834e+02     0.08%
  47   21   2.531076e+02     0.06%
