slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version,error_message
6,5,10,ok,saved representative point,0,198,584,198,584,4184,29.68088150024414,-94.15831756591797,2.941431760787964,24.0,79.99999767274336,313.9835510253906,33.98356246948242,159.22000122070312,-1.8542040586471558,-37.36512756347656,0.000534652266651392,-33.5622975129655,4.746440560511863e-07,9.120021141017755,10.992067870901392,-9.114601783645485,-6.144069531187714,16.1099796295166,11.076726913452148,5.033252239227295,8460,55.98521886922481,8.271908354754967,1,21.986922319550107,3.2486040084128596,40.289315742901316,9.06792646473096,1029,94.69278038730855,1.1264868922451376,True,AWE\01772\remap85_from_l7a\slice_006\cluster_005_global_00010\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_005_global_00010,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_005_global_00010_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,6,11,ok,saved representative point,0,82,230,82,230,3830,32.70463943481445,-100.9639892578125,2.891540050506592,24.0,90.00000250447816,317.55511474609375,47.55510330200195,175.13999938964844,14.326662063598633,-47.03644561767578,0.0005452188779599965,99.48780068518897,5.508472987635196e-08,26.770979180407156,25.270496073566235,17.054568839252585,18.64777878223895,12.866498947143555,5.860229015350342,7.006270408630371,2828,-74.44712928963222,10.0470731866037,-1,22.110797399020772,2.9839807364212994,41.81393004951678,9.972913156680663,937,134.20166568367316,7.924789896326621,True,AWE\01772\remap85_from_l7a\slice_006\cluster_006_global_00011\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_006_global_00011,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_006_global_00011_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,7,12,ok,saved representative point,2,232,276,266,256,3876,34.072479248046875,-98.08329772949219,0.796889066696167,24.0,159.99999534548672,315.9659118652344,115.96589660644531,191.5399932861328,14.397648811340332,-32.6845703125,0.00044563901610672474,46.0637096843778,2.1002228823357366e-07,13.710306868339966,1.0054799828896268,-0.44023559371903703,0.9039815363239291,0.8170515894889832,0.15662917494773865,0.6604223847389221,2724,-10.374679401873461,1.4391040325363869,-1,21.670539128660526,3.0059878516979834,110.33842188727935,11.144175767071054,949,161.75774269442672,0.030353819670008955,False,AWE\01772\remap85_from_l7a\slice_006\cluster_007_global_00012\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_007_global_00012,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_007_global_00012_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,8,13,ok,saved representative point,1,75,144,62,146,3744,33.66010665893555,-102.3887939453125,1.7553702592849731,26.17218589782715,90.00000250447816,318.3832092285156,48.383201599121094,198.9600067138672,17.375545501708984,-41.73472595214844,0.00044509980943985283,-60.05268580417783,1.234219879009859e-07,17.884779897972948,5.415468004179213,-3.596657605308786,-4.0486229479247955,3.3693785667419434,1.4861963987350464,1.883182168006897,1436,79.7138270495775,11.552660837758937,1,23.67500663372452,3.4311402688144055,45.17804384075153,10.645731819009306,915,148.01960990226848,3.9017620066927448,True,AWE\01772\remap85_from_l7a\slice_006\cluster_008_global_00013\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_008_global_00013,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_008_global_00013_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,9,14,ok,saved representative point,1,75,150,62,146,3750,33.58935546875,-102.29325103759766,1.6302727460861206,24.0,79.99999767274336,318.3152160644531,38.31520080566406,204.9199981689453,17.551958084106445,-42.05073547363281,0.00044992155744694173,85.9471413328198,6.09079425968641e-08,25.459091590939714,6.762240470305594,5.305733485287757,4.192503829614833,2.987614154815674,1.83922278881073,1.1483914852142334,1216,-73.64768849062347,10.467640970598021,-1,21.873363481715174,3.1088893682676124,38.544914581269495,10.084316891036769,916,148.03716480695525,4.81758040392662,True,AWE\01772\remap85_from_l7a\slice_006\cluster_009_global_00014\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_009_global_00014,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_009_global_00014_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,10,15,ok,saved representative point,0,182,214,182,214,3814,34.215911865234375,-99.75875854492188,2.5489308834075928,37.0130615234375,149.99999734394112,316.9002990722656,106.90028381347656,188.6199951171875,13.02436351776123,-33.54126739501953,0.0004494398017413914,42.6796644283964,2.467343059901151e-07,12.649259415031507,6.292498506694725,-1.8292742670567483,6.020738585309891,5.589456081390381,0.4723679721355438,5.117088317871094,16948,-6.80069908688314,0.8750788175481062,-1,32.316922060868684,4.158374540988602,106.46339016952949,9.786080700392041,933,63.09738127840256,0.007504129123328714,False,AWE\01772\remap85_from_l7a\slice_006\cluster_010_global_00015\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_010_global_00015,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_010_global_00015_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,11,16,ok,saved representative point,1,75,226,54,238,3826,32.66019058227539,-101.1250228881836,1.8321211338043213,44.01619338989258,90.00000250447816,317.6567077636719,47.65672302246094,179.52999877929688,14.985885620117188,-47.598209381103516,0.0005473120254464447,155.85052558499086,2.2532970496684143e-08,41.85724540401016,8.199764636433901,5.523124882908654,6.060629638965514,2.6804378032684326,1.2161089181900024,1.4643288850784302,7548,-130.76368347468215,18.19534584586343,-1,38.836813991980605,5.404017716221439,42.9053112458718,9.816125191317216,936,148.0129422811861,2.751485525706258,True,AWE\01772\remap85_from_l7a\slice_006\cluster_011_global_00016\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_011_global_00016,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_011_global_00016_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,12,17,ok,saved representative point,1,75,148,60,148,3748,33.612945556640625,-102.32508087158203,1.8656870126724243,31.124149322509766,100.0000005060238,318.3394775390625,58.3394660949707,208.0,17.495594024658203,-41.94561004638672,0.0004482994554564357,-68.55223230594616,9.539486730997387e-08,20.34311078661734,5.315528738895838,-2.790042891053069,-4.5244343779208265,2.9284467697143555,0.8068009614944458,2.12164568901062,5224,95.07202164166655,13.844489367522522,1,28.236390427574975,4.11181334215419,53.31731069732866,10.384815750936173,916,148.02064557408377,3.4789976844673265,True,AWE\01772\remap85_from_l7a\slice_006\cluster_012_global_00017\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_012_global_00017,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_012_global_00017_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,13,18,ok,saved representative point,1,224,282,252,268,3882,33.89700698852539,-98.11065673828125,1.2976205348968506,37.0130615234375,109.99999850756943,315.9912414550781,65.9912338256836,190.4199981689453,13.886335372924805,-33.80575180053711,0.00044810547842644155,87.12575512857906,5.9031951852732853e-08,25.86046303999637,3.281068076045479,1.3349888770591174,2.9972007636748694,1.4213440418243408,0.23530124127864838,1.1860427856445312,7952,-61.89478767270654,7.0771332578989625,-1,30.32206505368057,3.4670656950036984,72.18863458072303,8.13338813502702,951,145.97889455545624,0.0794615366000682,False,AWE\01772\remap85_from_l7a\slice_006\cluster_013_global_00018\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_013_global_00018,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_013_global_00018_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
6,14,19,ok,saved representative point,0,84,224,84,224,3824,32.80281066894531,-101.02918243408203,1.8853672742843628,26.17218589782715,79.99999767274336,317.5977783203125,37.5977783203125,199.63999938964844,14.546730995178223,-46.251502990722656,0.0005357458139769733,96.29861018856491,5.777217894800774e-08,26.140897515156563,7.534638526991548,5.9697945138018085,4.596991537452206,3.8604748249053955,2.4234530925750732,1.4370216131210327,1076,-79.60547056368999,10.777383394559457,-1,23.642824757415934,3.2008828681841592,35.84906701828765,10.455932014322116,936,130.29707312410767,10.10622191201826,True,AWE\01772\remap85_from_l7a\slice_006\cluster_014_global_00019\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_12_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01772\remap85_from_l7a\slice_006\cluster_014_global_00019,plots_l7a_cluster_debug\01772\slice_006\awe_l7a_tmp_2024075T0844_01772_v23_slice_006_cluster_014_global_00019_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0844_01772_v23.nc,2024075T0844_01772,01772,v23,
