Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    3   1.733230e+04    17.36%
   2    1   1.672426e+04    16.75%
   3    5   1.246492e+04    12.48%
   4    0   1.228412e+04    12.30%
   5    4   5.816108e+03     5.82%
   6    6   4.833197e+03     4.84%
   7    9   2.991675e+03     3.00%
   8   46   2.088418e+03     2.09%
   9   12   1.860176e+03     1.86%
  10   28   1.537720e+03     1.54%
  11   22   1.484527e+03     1.49%
  12   69   9.752177e+02     0.98%
  13   48   9.561678e+02     0.96%
  14   19   9.461234e+02     0.95%
  15   40   8.908007e+02     0.89%
  16   20   7.982772e+02     0.80%
  17    8   7.671588e+02     0.77%
  18   17   6.960582e+02     0.70%
  19   29   6.933273e+02     0.69%
  20   52   6.046484e+02     0.61%
  21   14   5.847235e+02     0.59%
  22   18   5.499120e+02     0.55%
  23   44   4.809565e+02     0.48%
  24   27   4.726833e+02     0.47%
  25    7   4.519022e+02     0.45%
  26   30   4.015695e+02     0.40%
  27   51   3.502849e+02     0.35%
  28   23   3.449636e+02     0.35%
  29   16   2.794562e+02     0.28%
  30   58   2.776931e+02     0.28%
  31   91   2.704877e+02     0.27%
  32   13   2.684558e+02     0.27%
  33    2   2.652191e+02     0.27%
  34   96   2.618935e+02     0.26%
  35   74   2.583084e+02     0.26%
  36   80   2.467764e+02     0.25%
  37   15   2.280002e+02     0.23%
  38   26   2.277018e+02     0.23%
  39   31   2.252872e+02     0.23%
  40  121   2.144382e+02     0.21%
  41   10   2.123115e+02     0.21%
  42   84   2.001078e+02     0.20%
  43   49   1.967568e+02     0.20%
  44   72   1.964014e+02     0.20%
  45   34   1.957747e+02     0.20%
  46  102   1.872278e+02     0.19%
  47   24   1.832385e+02     0.18%
  48   67   1.794322e+02     0.18%
  49   57   1.767836e+02     0.18%
  50   64   1.723569e+02     0.17%
  51   43   1.673431e+02     0.17%
  52   42   1.671401e+02     0.17%
  53   55   1.461346e+02     0.15%
  54   89   1.412442e+02     0.14%
  55   70   1.406109e+02     0.14%
  56   33   1.360915e+02     0.14%
  57   83   1.336357e+02     0.13%
  58   11   1.322579e+02     0.13%
  59  132   1.290988e+02     0.13%
  60   65   1.256032e+02     0.13%
  61   53   1.222171e+02     0.12%
  62   50   1.213546e+02     0.12%
  63   85   1.210584e+02     0.12%
  64  127   1.104198e+02     0.11%
  65   39   1.100747e+02     0.11%
  66   79   1.065434e+02     0.11%
  67   21   9.972850e+01     0.10%
  68   87   9.722831e+01     0.10%
  69   45   9.393280e+01     0.09%
  70   75   7.918579e+01     0.08%
  71   32   7.664465e+01     0.08%
  72  126   7.326736e+01     0.07%
  73   25   7.241736e+01     0.07%
  74  122   7.209243e+01     0.07%
  75   88   7.172541e+01     0.07%
  76   60   7.090828e+01     0.07%
  77   47   6.917688e+01     0.07%
  78  123   6.330397e+01     0.06%
  79   38   5.590568e+01     0.06%
  80  105   5.349920e+01     0.05%
  81   94   5.127276e+01     0.05%
  82   36   4.960153e+01     0.05%
  83   81   4.907759e+01     0.05%
  84  117   4.897486e+01     0.05%
  85   41   4.371177e+01     0.04%
  86   66   4.368055e+01     0.04%
  87   97   4.330508e+01     0.04%
  88   90   4.283561e+01     0.04%
  89   63   4.162171e+01     0.04%
  90   98   4.084557e+01     0.04%
  91  137   4.039009e+01     0.04%
  92   56   3.996449e+01     0.04%
  93  103   3.899008e+01     0.04%
  94  108   3.718865e+01     0.04%
  95  101   3.714260e+01     0.04%
  96   62   3.706726e+01     0.04%
  97   77   3.268153e+01     0.03%
  98  113   3.190503e+01     0.03%
  99   95   3.124814e+01     0.03%
 100   92   3.109505e+01     0.03%
 101   73   3.101612e+01     0.03%
 102  139   2.833538e+01     0.03%
 103   86   2.742402e+01     0.03%
 104  119   2.616837e+01     0.03%
 105   54   2.491988e+01     0.02%
 106   35   2.483251e+01     0.02%
 107   71   2.345760e+01     0.02%
 108   61   2.269568e+01     0.02%
 109  134   2.126068e+01     0.02%
 110  125   2.021626e+01     0.02%
 111   59   1.899607e+01     0.02%
 112  141   1.893810e+01     0.02%
 113  140   1.859368e+01     0.02%
 114  133   1.855490e+01     0.02%
 115  110   1.786744e+01     0.02%
 116  135   1.778444e+01     0.02%
 117   68   1.661750e+01     0.02%
 118   37   1.611204e+01     0.02%
 119  136   1.521803e+01     0.02%
 120   76   1.437468e+01     0.01%
 121  100   1.371380e+01     0.01%
 122   82   1.318545e+01     0.01%
 123  114   1.191763e+01     0.01%
 124   93   1.113387e+01     0.01%
 125  144   1.068591e+01     0.01%
 126  131   1.051181e+01     0.01%
 127   99   8.631225e+00     0.01%
 128  106   8.220671e+00     0.01%
 129  116   8.111994e+00     0.01%
 130  109   7.610209e+00     0.01%
 131  142   7.200600e+00     0.01%
 132   78   7.129842e+00     0.01%
 133  129   5.674162e+00     0.01%
 134  115   5.515076e+00     0.01%
 135  138   5.440698e+00     0.01%
 136  107   5.266313e+00     0.01%
 137  124   4.308903e+00     0.00%
 138  104   3.329744e+00     0.00%
 139  111   3.055435e+00     0.00%
 140  130   2.118651e+00     0.00%
 141  143   1.895942e+00     0.00%
 142  118   1.664071e+00     0.00%
 143  128   1.042567e+00     0.00%
 144  120   7.384586e-01     0.00%
 145  112   1.464812e-01     0.00%
