image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.169261124419662,-0.803618729264132,-0.41130982692580453,1.0,0.0788266333142924,-0.9641732369132638,-0.6745618112343243
1,-0.3174079521342781,-0.9917879740983767,-0.19538430104997073,0.959964441980155,0.3754569080929111,-0.8353998567544274,-0.8058565930085722
2,-0.39341038469061873,-1.0,-0.25739802569542813,1.0,-0.016240543695893672,-0.9507333811444799,-0.5405154337693978
3,-0.2908983285678908,-0.9592805944882008,-0.29656978662664646,0.9151391407955922,0.3121882096286519,-0.8823800094703814,-0.7675814685391332
4,-0.26428530359290503,-0.9740003519234627,-0.12138105371505903,0.9643602881479261,0.1899060099016221,-0.8438843642235747,-0.8202411150061774
5,0.06846814055904193,-0.8947560300016131,-0.32665237059052976,0.9603460828244039,0.19446300401200478,-0.8870201595556935,-0.6346764801483971
6,-0.11748240346368177,-0.9853199761412489,-0.44145755244967044,0.9227023848951104,0.28284597006767265,-0.902976429013581,-0.6803642382985752
7,0.05563770531380996,-0.9838042008817264,-0.2999020734084161,0.9377748786318458,0.3472726130510029,-0.8980869596031794,-0.7738157757140848
8,-0.2927118554194281,-0.9390812236400458,-0.49524931918623105,0.8083799172234691,0.3457299378790022,-0.8436136173941319,-0.6679079311556374
9,0.08465370737722466,-0.989706133087476,-0.3488423213660977,0.9600433768072303,0.17620551299095077,-0.9126094757571596,-0.717480405866554
10,-0.05794509943187354,-0.9875742790670263,-0.3547849145411255,0.880147970573363,0.5803023364491382,-0.6611642903740655,-0.7978449807164391
11,-0.09954660761333223,-0.962246335530283,-0.40892990733603163,0.8983374260098342,0.36156304031721564,-0.8613002437331359,-0.7026164513942224
12,-0.1362785553086191,-0.9475938516369279,-0.6340907901477215,0.6787514585775256,0.33901890925599276,-0.569462170942814,-0.7581262605859347
13,-0.013260329377802749,-0.923199132155968,-0.6845501245645378,0.7807661130048047,0.461926236280529,-0.7655971904388514,-0.7572781333687103
14,0.021387741640257696,-0.8739264730752505,-0.5513665390945981,0.73377681418258,0.6248978728473455,-0.6065899674955304,-0.8493930228949826
15,0.6762089197206915,-0.8987423572161807,-0.5477232900415762,0.8682788722727597,0.4943290811632557,-0.7322124399328336,-0.7790062284486718
16,0.2683964690705942,-0.7897046695008286,-0.5376897233420497,0.802323743522978,0.733302889531865,-0.5512698818851377,-0.7927022203854591
17,-0.18265867043820316,-0.9169691722190941,-0.6265111822986231,0.6990957829736069,0.44060503135936036,-0.7253265112597991,-0.6931805991218908
18,0.08324579624385842,-0.9463029605158598,-0.4538208015585018,0.9445296696316043,0.49043155209012945,-0.07566824492199964,-0.8468934021670704
19,0.4294622145752316,-0.8658631742031795,-0.7601913521202033,0.8035805274691119,0.35097225810151,-0.8338417003353821,-0.6400407955756147
20,0.435785733935133,-0.9725960582434967,-0.38193648692459636,0.7451732815145384,0.6770055582326651,-0.44783817758307254,-0.8206809205591068
21,0.09235267746559783,-0.976914929761138,-0.43339955990990164,0.9410078718277448,0.34312765650276655,-0.87118677261425,-0.6500083596367516
22,-0.20716420245069378,-0.9541723932478008,-0.19919695580625296,0.9024352647954186,0.21988183194045785,-0.9581613628751533,-0.34943340608940576
23,0.4994617724585968,-0.8980405321963524,-0.6933290396557259,0.7918836176267936,0.3961176846806389,-0.909936412666759,-0.3139182742966423
24,0.2987389698620919,-0.9456994564117114,-0.5661477507324226,0.9114534403873658,0.17720737027188838,-0.9871021579890937,-0.24483910518344054
25,0.008332672741351521,-0.9492816447494862,-0.5827786815808265,0.8628873149046852,0.4199389058164429,-0.8811282732516668,-0.4342792045013333
26,-0.4331620156648368,-0.9982136733174736,-0.44445333675320053,0.8420860949083477,0.4218019841835241,-0.8756371852241174,-0.40703140932384807
27,0.641228731971961,-0.9463561016487705,-0.5197851585433254,0.7893113703662329,0.3800677075863861,-0.8464052276799389,-0.47485907760570145
28,0.00205236223261851,-0.9219093914475294,-0.5928726251413621,0.8851852726514382,0.3981275019185644,-0.7294293656504705,-0.8458010170893056
29,-0.09146143040395027,-0.9644820417908913,-0.3335445362690167,0.9282044204451216,0.30237474518254603,-0.844720858597976,-0.5242995690216192
30,0.1601836282766429,-0.8920731505865719,-0.44770302253045335,0.7891934159474958,0.4494396372575622,-0.7814514706760233,-0.8171800811232048
31,0.08607614548442699,-0.9898753983490304,-0.4066423581404318,0.9267960077066371,0.3578263337587064,-0.731343713572866,-0.8308656445502164
32,-0.1342499552406018,-0.9272537701971314,-0.6433579830479976,0.7952295906617213,0.5414324821493515,-0.7376065452860536,-0.7649214150391759
33,-0.02610500127266313,-0.9920776669800441,-0.4026783691307081,0.9238459852291225,0.23473475114335507,-0.8845599491921672,-0.7753788728280282
34,0.3214434229511649,-0.9599710781497118,-0.4945942047646532,0.8008870149630278,0.49739815657779407,-0.6389554657536141,-0.7317765196386221
35,-0.055214225141532736,-0.9013596324375358,-0.5154528291324753,0.6204486956833477,0.6188344547784292,-0.818500237940644,-0.6922303481858356
36,0.5244720725794043,-0.9094314324150544,-0.5630430526576216,0.8835374718542219,0.21467017356930107,-0.9795513665225235,-0.47952415258556635
37,-0.19120733417782887,-0.9939505553495144,-0.41399496532655466,0.8748009516902517,0.5474383499983941,-0.34740822703323837,-0.9982047401812059
38,-0.3847122135475466,-0.9932916844348544,-0.2530299831257382,0.9485373923069669,0.42076926491917965,-0.6469075251956533,-0.9097441866468227
39,0.2725431318959306,-0.9968660621044396,-0.30614895699797184,0.8518170083932264,0.3090759534401706,-0.6051816810458395,-0.6807685491060559
40,0.2967112936867047,-0.8919660058268909,-0.45280412235515977,0.8671404868558907,0.26310906104712983,-0.8779758692134126,-0.746611462500131
41,-0.14006371464799028,-0.9570096619012517,-0.3753756450558753,0.9160603971160237,0.33316128922682053,-0.8370104366597627,-0.7531364130228893
