cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      132        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      133        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      134        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      135        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      136        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        301       0   0.003  0.047   1216     2.000           7.9        72.1        80.0      32.0      64.0
      137        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      137        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      138        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        301       1   0.018  0.148   4456     1.091           6.7        73.3        80.0      58.7      64.0
      146        300       0   0.000  0.032   1468     1.542          70.0        70.0         0.0      58.7      90.5
      146        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        305       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        306       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        300       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        301       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        302       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        303       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        304       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
