Cluster power ranking (clustered only)

name = base
MIN_AMP = 1.25
THR = 0.6
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   2.080803e+04    20.84%
   2   14   1.363914e+04    13.66%
   3   10   1.206849e+04    12.09%
   4    3   8.474442e+03     8.49%
   5    8   7.871719e+03     7.88%
   6    6   6.519166e+03     6.53%
   7    9   6.270970e+03     6.28%
   8    1   5.891575e+03     5.90%
   9    4   4.401304e+03     4.41%
  10    2   3.433488e+03     3.44%
  11   11   3.234369e+03     3.24%
  12   12   1.947380e+03     1.95%
  13    5   1.808869e+03     1.81%
  14    7   1.678946e+03     1.68%
  15   15   9.410169e+02     0.94%
  16   16   4.912625e+02     0.49%
  17   17   2.154469e+02     0.22%
  18   13   1.654858e+02     0.17%
