method,tag,lat_band_deg,N,mean_K,std_K,median_K,IQR_K,pct_within_10K
Method 2,m2,-60..-30,2800,-0.4637475551460714,5.108977673814652,-0.4596693975,6.15225698775,95.39285714285714
Method 2,m2,-30..0,2872,-1.171025135176532,5.338113136072311,-1.0153226750000002,6.777340019750001,93.03621169916435
Method 2,m2,0..30,2231,0.3809108913236217,4.888438888410223,0.403926695,5.9092239585,97.48991483639622
Method 2,m2,30..60,5219,-1.992860026663154,4.783642116733368,-1.838222137,5.7783076415,94.32841540525004
