method,tag,N,mean_K,std_K,median_K,IQR_K,RMSE_K,MAE_K,corr_AWE_SABER,slope_OLS_SABER_vs_AWE,intercept_OLS,slope_TLS_SABER_vs_AWE,intercept_TLS,pct_|dT|<=3K,pct_|dT|<=10K,pct_|dT|>15K
Method 1,m1,13122,-0.6963785995105929,8.983065876377701,-0.406977185,11.29769701375,9.00967624618601,6.976054923272671,0.7845538251997648,0.9675250216622394,5.686262136079768,1.304740979921441,-60.590250487751405,28.13595488492608,75.79637250419144,9.114464258497181
Method 2,m2,13122,-1.0831124541417467,5.073660817927603,-0.9977274574999999,6.1572668862499995,5.187793841071152,3.9512641457910385,0.9046090807982745,0.7532062390085988,47.42179787196537,0.8169060395103461,34.90222242279725,47.95000762078951,94.81024234110654,0.7392165828379821
Method 3,m3,13122,-0.007165190009297343,5.07357028297596,-0.042546153,6.09010763675,5.073382015975167,3.8335470349353753,0.9024070824586429,0.8455339248940369,30.35163760695626,0.930413693094913,13.669345767288519,49.50464868160341,95.09983234263069,0.8382868465172992
Method 4,m4_m0p75,13122,-0.6210860862154397,5.005178122335981,-0.5923617125,6.09608587275,5.043376529393905,3.839349492001143,0.9059850544519805,0.7740679099716452,43.783665973146896,0.8406849194495575,30.69074150890478,49.00929736320683,95.29035208047554,0.6630086877000457
