Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 8480797
n_zero_after_scaled  = 19607446
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0003015056657954554
WPS_scaled min       = -0.8706759176252464
WPS_scaled median    = 5.816507750857296e-17
WPS_scaled max       = 49.772351454846344
