image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.6691216390861108,-0.0030853744501402325,0.7057634721250035,1.0,0.7433159817865054,0.05444510423533089,-0.6258003547475748
1,-0.415407518232744,0.15338616258686089,0.6791840181286886,0.866304954794699,0.6231707171384895,0.04092632711846811,-0.543190645370486
2,-0.3944111142831802,0.1918531734240101,0.7456306529733099,0.9634241399858898,0.7733266865888002,0.21714472597621381,-0.4242467878237679
3,-0.6186269382179777,-0.0013544922309811636,0.6545289995146153,0.9682997267802995,0.8097933116326437,0.224686629806077,-0.4443002013083063
4,-0.6225392558234303,-0.06014662492249234,0.5766795200662771,0.9376787087364133,0.8419864393560983,0.3104805579174883,-0.3654766131304866
5,-0.6985197103388008,-0.12128694653718408,0.5531694048654392,0.929070144897925,0.8315262699727519,0.2867709055596894,-0.37584561262548555
6,-0.6572738794534017,-0.06479568654401902,0.6088547664588626,0.9595980453816197,0.8234207280230961,0.23707980950042673,-0.4419067798825115
7,-0.7258203532466723,-0.13930933945062374,0.5649185983341929,0.9654333067938683,0.8700826104828137,0.2969183818278649,-0.4071952601999912
8,-0.663554801927599,-0.06814910522245865,0.6034377404665519,0.9576624582523481,0.8351793080568879,0.2751619764845652,-0.39564176694312847
9,-0.6203992825013083,0.022562129215555116,0.6956710441460945,0.9861935188091733,0.7853434909863968,0.1744908354654835,-0.4925206096911632
10,-0.5875134408523366,0.008692522723044993,0.6312263509402001,0.9273095137797187,0.7852262622870272,0.24050658378855783,-0.3899117216704562
11,-0.6821819657102608,-0.08812035721839451,0.5900264853400634,0.9646104039036325,0.8673466459136026,0.33593886751103974,-0.33372877941521595
12,-0.6798316271486464,-0.0926132345399372,0.5852363854360381,0.9562103468019816,0.8457432447224571,0.28150034074655594,-0.4025743974377731
13,-0.5860294919924105,0.041812614150969374,0.6907465084812454,0.9772441285527653,0.7751258332023947,0.15853066115242997,-0.5132843685242123
14,-0.777757614094825,-0.26420737157965113,0.42252280255306696,0.8891794723342816,0.8958486854211576,0.4147181875701762,-0.2670323135233581
15,-0.7654958096972055,-0.23372576710365156,0.45990797386901416,0.9190017116229676,0.9247207241847635,0.4512357342885067,-0.22410594856174493
16,-0.7351122837629571,-0.18249663115753845,0.5048477037723083,0.9227105692339816,0.860586401162404,0.3356587893680101,-0.3386606955555437
17,-0.7880857063518155,-0.22112719187643481,0.4987835666950715,0.947993839189389,0.8900362292275152,0.36108458580961234,-0.3349872835061022
18,-0.7982526340611948,-0.25712918899782233,0.457055295409718,0.9191252156078482,0.9030125459148899,0.38915347093159514,-0.30548014276711466
19,-0.819885700668366,-0.28761664008346133,0.4337997898853101,0.9195784529995505,0.9127428575857623,0.4120334273767343,-0.28089360271629127
20,-0.8861079122418933,-0.41481099325794846,0.3011025464658563,0.8502128500571438,0.9627816094932116,0.5484654689328761,-0.13357459089474932
21,-0.8366550491030822,-0.33375898575992924,0.37996557860933655,0.9009600185704107,0.9466180996444582,0.4939759930031826,-0.19757054292475806
22,-0.8510570280226166,-0.3711115772940484,0.34135226359420434,0.8640149264166321,0.9114963100986786,0.45134220514195844,-0.229587742243909
23,-0.6976417930853462,-0.13470182178433732,0.532704280887865,0.9254912639536843,0.8586603373118868,0.3489296676961646,-0.30990004506672053
24,-0.8159143568790456,-0.308822249234426,0.39859818768566857,0.8984172424568995,0.9273310948795719,0.46413770265268584,-0.2159253400999973
25,-0.8414035116208438,-0.3262790952593888,0.39635395121573325,0.9155065233338417,0.9403954559730288,0.4682840431273243,-0.22700660342813517
26,-0.8849618947016774,-0.42409705278185783,0.2905559062698637,0.8502966857919081,0.9603154898180355,0.5622173718855461,-0.10392019979883482
27,-0.8607503293468423,-0.38618940534449053,0.3415400945645377,0.8843804620153481,0.9469268308501297,0.5215029767268304,-0.15204450194337504
28,-0.7891078387046253,-0.24007367176040273,0.5197364475432034,0.9484112303415586,0.9078976852407474,0.4065399443796873,-0.28077237033949143
29,-0.8490858003141384,-0.3368842010904891,0.3865617718919905,0.8973283620276458,0.9396139340657148,0.480418024568702,-0.20044445266728095
30,-0.8328178985466395,-0.30817350812648936,0.4069974205664162,0.9172150996227251,0.9435379792075225,0.4912563483348913,-0.19102348191271667
31,-0.887442372731461,-0.4127594942147662,0.30887433191834135,0.8564682019108825,0.9665805120477664,0.5545880909240748,-0.1236960884889644
32,-0.8204649305532232,-0.2762897905770466,0.4539474481777983,0.9314872437206803,0.9083936181298227,0.38604970856741505,-0.3123396899370464
33,-0.8589238543727237,-0.3524465957130386,0.37972735506133803,0.9092309260096882,0.9457456572229104,0.46408634720714437,-0.24923684128661483
34,-0.8167404323786897,-0.28775229881434405,0.4254001874970834,0.9218798228723828,0.9477301070248876,0.4963894012248473,-0.1796658546668366
35,-0.7694920812942714,-0.2495049854122079,0.4579264186731751,0.9209752012386652,0.931674643406863,0.4880137993083222,-0.16952306839406017
36,-0.7934205209714498,-0.3109614658606705,0.3649309613817546,0.8631005213030474,0.9166959886766024,0.49179264175350323,-0.17086269328887327
37,-0.7706207693387327,-0.21703958745715435,0.4899919478150694,0.935103545104996,0.8882205848610962,0.36627574679100916,-0.321349638443568
38,-0.9241644402048699,-0.5221248890689595,0.16841443817283852,0.7858527228697416,0.9967398199962259,0.697620775145485,0.05506138185471232
39,-0.8331023605735693,-0.32195079868329257,0.39773332768365965,0.9103335310405751,0.9289420567266435,0.4486996767413771,-0.24791589401981895
40,-0.869436373418073,-0.4008269141280436,0.31889405212455024,0.8648685779940049,0.9507466909426661,0.5141452286137664,-0.17473972043106578
41,-0.8117438209574022,-0.35317044488733385,0.3175508465671899,0.8332985615940409,0.9028820371386335,0.4974463190152687,-0.14518535488181983
42,-0.8927758289875698,-0.4522731502927907,0.27110029935402746,0.8312434933563893,0.9360344171680155,0.49863313238587614,-0.19076361247277918
43,-0.8204476665716582,-0.34627190168008615,0.35352144108001315,0.8636727363386922,0.9074157692698226,0.4378998937279921,-0.24950644046784853
44,-0.7841208730115354,-0.21459724670390257,0.5055010703128882,0.9440567445014563,0.8902107448190988,0.35267481992396843,-0.3416588497653712
45,-0.6691216768184995,-0.08305921988623621,0.5830195820695039,0.9471558421201964,0.8583626812211043,0.3304080569994996,-0.33700118803124357
46,-0.7284365707798889,-0.18170956716636444,0.49577312963007514,0.9341627836657245,0.9089441952655035,0.4256670968023426,-0.24617281064668806
47,-0.7583317793725678,-0.25195805531177884,0.4043260304044327,0.8530265292944554,0.881872387875335,0.4604031612927708,-0.1695563452432427
48,-0.8402818417740028,-0.3538340467317319,0.34468945941188456,0.8644144258867714,0.9236346643369124,0.48714458375833836,-0.182292929919452
49,-0.7232116838832463,-0.21092635114298164,0.4570995695163633,0.9023795706568576,0.8758451797727096,0.3731821439381293,-0.31086305130183467
50,-0.748367902463505,-0.25295136421428965,0.4152309433957524,0.8817306421270685,0.897497868520774,0.4375702431126811,-0.23148411043373862
51,-0.8381804574748045,-0.38454619767950693,0.30776912923391286,0.8641818559155918,0.9398851511504658,0.5163455247216704,-0.16686774156166384
