L6A: l6/awe_l6a_tmp_2024165T1335_03170_v01.nc
L6C: l6/awe_l6c_q20_2024165T1335_03170_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   2  383           2        1  ok
    2  11   4          11        0  ok
    3  73   1          73        0  ok
    4  51  35          51        0  ok
    5  23  106          23       11  ok
    6  20  125          20       10  ok
    7   1  22           1        0  ok
    8   1   0           0        0  no L6C clusters
