file,crest1,crest2,crest3
BandOH_caun0312,1.0,1.0,1.0
BandOH_caun0313,0.6290884420809868,0.6616308352910809,0.3802506992625565
BandOH_caun0314,-0.7641712289850757,0.24015382488470594,-0.7019026320284514
BandOH_caun0315,-0.8171705320305274,-0.11858525454953961,-0.8318206418253017
BandOH_caun0316,-0.5406279992588624,-0.38245120708990765,-0.21929799553173024
BandOH_caun0317,-0.1203234925192822,-0.5193707707246877,0.45605831169422184
BandOH_caun0318,0.40693838475263977,-0.7754894490844911,0.8670005119633
BandOH_caun0319,-0.16222334116461812,-0.9900282556518811,-0.016945860400591317
BandOH_caun0320,-0.5155544506321783,-0.9303944281965225,-0.767917499410506
BandOH_caun0321,-0.7770487268814983,-0.31794618018479237,-0.9638313121013218
BandOH_caun0322,-0.40728522631234765,-0.17967722211027148,-0.5489564875810498
