Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 5119890
n_zero_after_scaled  = 22578492
sMAD_WPS min         = 0.035743759625620465
sMAD_WPS median      = 0.0411058889654992
WPS_scaled min       = -0.9657156505700661
WPS_scaled median    = 3.865749266145831e-17
WPS_scaled max       = 30.794943802403115
