cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      133             425       0   0.006  0.148    504     4.000           5.2        95.2        90.0      20.7      83.0
      134             385       1   0.120  0.120   2704     1.000           0.0       100.0       100.0     107.6     107.6
      135             435       0   0.115  0.328   1360     1.682           0.7       125.0       125.7      17.4      29.3
      136             385       0   0.003  0.086   2172     2.828           9.9        90.1       100.0      38.1     107.6
      137             405       0   0.010  0.057    904     1.297           3.2        90.0        93.2      26.9      34.9
      138             388       0   0.001  0.110   1192     2.000          89.4        90.0         0.6      24.7      49.4
      139             363       1   0.062  0.547   1112     1.091           7.1       139.3       146.4      17.4      16.0
      140             368       0   0.005  0.393   4748     1.297          63.8        88.2       152.0      34.9      45.3
      141             385       0   0.008  0.390   1060     4.757           8.8        91.2       100.0      22.6     107.6
      142             393       1   0.020  0.235   1580     1.091          10.0         0.0       170.0      90.5      98.7
      143             425       0   0.000  0.013     16     4.757          10.0       100.0        90.0      17.4      83.0
      144             377       1   0.094  0.276   7264     1.000           1.9       168.1       170.0     117.4     117.4
      145             435       0   0.012  0.326   1412     1.091          23.0       103.3       126.3      29.3      26.9
      146             435       0   0.017  0.287    644     1.682           9.2       120.0       129.2      16.0      26.9
      147             396       0   0.001  0.252   1280     4.362          69.0        91.0       160.0      16.0      69.8
      148             393       1   0.266  0.266   1580     1.000           0.0       170.0       170.0      98.7      98.7
      149             412       0   0.001  0.249   2276     2.828          81.6        86.7       168.4      24.7      69.8
