Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   1.279403e+05    86.19%
   2   14   3.227435e+03     2.17%
   3   16   2.354868e+03     1.59%
   4   18   2.163583e+03     1.46%
   5   11   1.926294e+03     1.30%
   6   38   1.099170e+03     0.74%
   7   15   9.875839e+02     0.67%
   8    1   9.323566e+02     0.63%
   9    5   7.885860e+02     0.53%
  10   23   7.514277e+02     0.51%
  11    6   6.975004e+02     0.47%
  12    9   6.750747e+02     0.45%
  13   22   6.340911e+02     0.43%
  14   20   4.397617e+02     0.30%
  15    2   4.206662e+02     0.28%
  16    3   3.004264e+02     0.20%
  17   13   2.822981e+02     0.19%
  18   19   2.593390e+02     0.17%
  19   37   2.483688e+02     0.17%
  20   26   2.448133e+02     0.16%
  21   17   2.069419e+02     0.14%
  22   36   1.971213e+02     0.13%
  23   35   1.776004e+02     0.12%
  24   10   1.628665e+02     0.11%
  25   42   1.384971e+02     0.09%
  26    4   1.381855e+02     0.09%
  27   27   1.240473e+02     0.08%
  28   43   1.005890e+02     0.07%
  29    7   9.097473e+01     0.06%
  30   25   8.098719e+01     0.05%
  31    8   7.014444e+01     0.05%
  32   33   6.856582e+01     0.05%
  33   31   6.835669e+01     0.05%
  34   29   5.244592e+01     0.04%
  35   21   5.077093e+01     0.03%
  36   32   4.680527e+01     0.03%
  37   34   4.569615e+01     0.03%
  38   39   4.566308e+01     0.03%
  39   12   4.295939e+01     0.03%
  40   41   3.489591e+01     0.02%
  41   44   3.437521e+01     0.02%
  42   30   3.158070e+01     0.02%
  43   24   2.278623e+01     0.02%
  44   28   2.215640e+01     0.01%
  45   40   6.352940e+00     0.00%
