angle_deg,peak_t_idx,peak_d_idx,freq_time_cycles_per_pixel,freq_distance_cycles_per_pixel,slope_distance_pixel_per_time_pixel,orientation_angle_deg,peak_power
0.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,591178.7896235209
5.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,574804.1517179348
10.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,535141.2556450656
15.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,512719.8599967831
20.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,507123.58682940516
25.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,499623.0276574755
30.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,493111.9321461023
35.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,494434.2606467448
40.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,487718.4437810111
45.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,488213.42932808475
50.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,483412.64133437735
55.0,145,501,0.017857142857142856,0.000999000999000999,-17.875,-86.79797941667786,479697.9516502916
60.0,135,499,-0.017857142857142856,-0.000999000999000999,-17.875,-86.79797941667786,469978.1465802499
65.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,451498.5430618361
70.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,458864.19163935503
75.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,465401.81800800277
80.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,447470.7935486139
85.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,439200.8800652915
90.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,447166.75889976654
95.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,446553.16083427524
100.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,440037.5343429658
105.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,448844.93774250575
110.0,145,499,0.017857142857142856,-0.000999000999000999,17.875,86.79797941667786,469637.0498602228
115.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,484444.8001390976
120.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,514771.82646539377
125.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,541517.8555110648
130.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,555293.3778695622
135.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,570380.7326670189
140.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,572273.1140532887
145.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,567291.9337650494
150.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,564941.017810341
155.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,582850.3223370571
160.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,591450.0522874887
165.0,145,499,0.017857142857142856,-0.000999000999000999,17.875,86.79797941667786,604622.334659631
170.0,135,501,-0.017857142857142856,0.000999000999000999,17.875,86.79797941667786,611265.1807172116
175.0,145,499,0.017857142857142856,-0.000999000999000999,17.875,86.79797941667786,609209.1656102004
