method,tag,N,mean_K,std_K,median_K,IQR_K,RMSE_K,MAE_K,corr_AWE_SABER,slope_TLS_SABER_vs_AWE,intercept_TLS,slope_TLS_bootstrap_SE,intercept_TLS_bootstrap_SE,slope_TLS_CI_low_95,slope_TLS_CI_high_95,intercept_TLS_CI_low_95,intercept_TLS_CI_high_95,pct_|dT|<=3K,pct_|dT|<=10K,pct_|dT|>15K
Method 1,m1,13122,-0.6963785995105929,8.983065876377701,-0.406977185,11.29769701375,9.00967624618601,6.976054923272672,0.7845538251997651,1.304740979921441,-60.59025048775135,0.010028538348738014,1.9872291034891034,1.2850673322494373,1.3238910133231496,-64.38887704969403,-56.66223193697034,28.13595488492608,75.79637250419144,9.114464258497181
Method 2,m2,13122,-1.0831124541417467,5.073660817927603,-0.9977274574999999,6.1572668862499995,5.187793841071152,3.9512641457910376,0.9046090807982745,0.8169060395103461,34.90222242279728,0.004151280086272544,0.8230496011816542,0.8083547458713833,0.8250398751230327,33.29422519748753,36.61358835503831,47.95000762078951,94.81024234110654,0.7392165828379821
Method 3,m3,13122,-0.007165190009297352,5.073570282975959,-0.042546153,6.09010763675,5.073382015975167,3.8335470349353757,0.9024070824586432,0.9304136930949128,13.669345767288576,0.0048194548123130405,0.9531275184941669,0.9207096188067206,0.9393277139590271,11.930307137142746,15.57155837994862,49.50464868160341,95.09983234263069,0.8382868465172992
Method 4,m4_m0p75,13122,-0.6210860862154397,5.005178122335982,-0.5923617125,6.09608587275,5.043376529393904,3.839349492001143,0.9059850544519804,0.840684919449557,30.690741508904864,0.004234443835393942,0.837972349026633,0.832584277803273,0.8492224448545331,28.98142460905366,32.290156804994595,49.00929736320683,95.29035208047554,0.6630086877000457
