image_index,dominant_wavelength_km,dominant_theta_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,10.079368399158986,84.99999999999999,-0.6440701529124302,0.09199863271528153,0.7401781911992553,1.0,0.738582843535641,0.10102483119595873,-0.629745367431028
1,10.079368399158986,84.99999999999999,-0.6566492609819674,0.08311243955139958,0.7374099833896648,0.9991879017281002,0.7355223433631226,0.0990217545007861,-0.6232698918967184
2,10.079368399158984,80.0,-0.6488165657492411,0.07192917833749113,0.7135685380824579,0.9949459472489381,0.7712938276291852,0.16449189448295942,-0.5636477734661645
3,10.079368399158986,84.99999999999999,-0.6516982146242265,0.07716097666103283,0.7251941867998446,0.9970077385095812,0.7532191462172539,0.13003019446568165,-0.5975241818105208
4,10.079368399158986,84.99999999999999,-0.6375758241698369,0.0894416664962594,0.7399753512817171,0.9986700485494415,0.7329933877356891,0.09432100050616055,-0.6249820932811756
5,10.079368399158986,84.99999999999999,-0.6341838479718895,0.08886488521669378,0.7321655167173089,0.9941649369314842,0.7380027911321494,0.10915019816553273,-0.6061901773745364
6,10.678718833360277,75.0,-0.5876823803095734,0.13578797578409585,0.7473553757374023,0.9801800278132142,0.7103574232351637,0.077127241058625,-0.6362456927726723
7,10.079368399158986,84.99999999999999,-0.6352080815286606,0.10058253239567372,0.7547575242353557,0.9810650787899027,0.6872083722195264,0.03935761763347734,-0.6630797506529211
8,10.079368399158984,80.0,-0.5987814818409607,0.14498114483759617,0.7843220167160649,0.9791898329704605,0.6729595459730724,0.03230429737808738,-0.6538651631354898
9,10.678718833360277,75.0,-0.5605659043624609,0.17557343639910394,0.787876856577389,0.9624433886156016,0.662608870226101,0.046575003394391024,-0.6212951060041831
10,10.079368399158986,75.0,-0.6021113802480703,0.1527250810669607,0.7926229284841859,0.9891663355286273,0.6675770675240524,0.003180154472842256,-0.7020475609679122
11,10.678718833360277,75.0,-0.5036440461736122,0.2592661692132876,0.8324562645261044,0.9603703825123395,0.6232005790652417,-0.012727418917999889,-0.6759182420163797
12,10.678718833360277,75.0,-0.5782614132118244,0.19080656758893944,0.8110064999399242,0.974347178816021,0.646501638011203,-0.005436753177732734,-0.6890092285624507
13,10.678718833360277,75.0,-0.5221790461405087,0.24476229746499478,0.8321546257266446,0.9720250572068379,0.639428434229601,-0.005030278080489281,-0.686564169770322
14,10.079368399158984,80.0,-0.5194616458786825,0.22654992633735693,0.8347078326178257,0.9740388474415469,0.6274205091850309,-0.03476286223678737,-0.7212491923992406
15,10.678718833360277,75.0,-0.5233530293054545,0.21072985684888534,0.8125983989307894,0.9680200809774266,0.6392878840707903,-0.008844493213952198,-0.6942351333818284
16,10.079368399158984,80.0,-0.5495167467569614,0.1868940369799934,0.8061700551253002,0.970282953467811,0.6421282793494574,-0.010042984930503485,-0.6986393849683692
