cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      743            1102       0   0.016  0.023    304     1.297           0.1        60.0        60.1      34.9      45.3
      744            1112       0   0.001  0.109   3072     3.084          34.7        94.7        60.0      22.6      69.8
      745            1112       0   0.000  0.003     64     1.542          40.0       100.0        60.0      45.3      69.8
      746            1112       0   0.001  0.198   3600     3.364          39.5        99.5        60.0      20.7      69.8
      747            1112       0   0.000  0.045    764     4.000          29.7        89.7        60.0      17.4      69.8
      748            1112       0   0.000  0.015    224     2.181          20.0        80.0        60.0      32.0      69.8
      749            1098       1   0.016  0.185   4876     1.000          10.4        16.5        26.9      49.4      49.4
      750            1089       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      751            1112       0   0.001  0.106   2988     1.000          83.9       156.1        60.0      69.8      69.8
      752            1112       0   0.000  0.000      4     2.594          10.0        70.0        60.0      26.9      69.8
      753            1151       0   0.001  0.067    856     1.542          78.6       138.6        60.0      41.5      64.0
      754            1151       0   0.001  0.105    896     2.000          40.0       100.0        60.0      32.0      64.0
      755            1151       0   0.001  0.128   1312     1.542          86.9       153.1        60.0      41.5      64.0
      756            1103       0   0.006  0.265   3084     1.091          43.0        32.4        75.4      34.9      32.0
      757            1112       0   0.000  0.005     92     1.682          60.0       120.0        60.0      41.5      69.8
      758            1101       0   0.000  0.039    724     1.000          79.5       149.2        69.7      53.8      53.8
      759            1089       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      760            1103       0   0.008  0.084    912     2.378           3.5        70.0        73.5      76.1      32.0
      761            1151       0   0.000  0.005     20     3.364          10.0        70.0        60.0      19.0      64.0
      762            1112       0   0.000  0.004     64     1.834          60.0       120.0        60.0      38.1      69.8
      763            1151       0   0.001  0.299   1168     4.000          56.1       116.1        60.0      16.0      64.0
      764            1102       1   0.011  0.069    944     1.091           4.7        60.0        64.7      41.5      45.3
      765            1101       0   0.001  0.099   1916     1.091          68.7         0.0        68.7      58.7      53.8
      766            1089       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      767            1151       0   0.001  0.079    192     3.364          40.0       100.0        60.0      19.0      64.0
      768            1151       0   0.001  0.119    664     1.414          90.0       150.0        60.0      45.3      64.0
