cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      133             608       0   0.001  0.097    264     1.834          42.8        57.2       100.0      20.7      38.1
      134             610       0   0.002  0.003     64     1.542           0.0        90.0        90.0      41.5      26.9
      135             599       0   0.000  0.098   3300     2.828          75.0        95.0       170.0      41.5     117.4
      136             608       0   0.005  0.547    376     1.297          83.8        16.2       100.0      29.3      38.1
      137             608       0   0.011  0.533    228     1.091          44.9       144.9       100.0      34.9      38.1
      138             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      139             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140             608       0   0.007  0.657    268     1.297          70.0        30.0       100.0      29.3      38.1
      141             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142             608       0   0.005  0.549    224     1.414          70.0       170.0       100.0      26.9      38.1
      143             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146             600       0   0.023  0.171   7016     2.594           1.9         1.9         0.0      24.7      64.0
      147             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148             598       0   0.000  0.017    484     6.727          69.1        69.1         0.0      17.4     117.4
      149             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152             600       1   0.394  0.394  16108     1.000           0.0         0.0         0.0      83.0      83.0
      153             610       0   0.028  0.688     44     1.189          20.0       110.0        90.0      32.0      26.9
      154             610       0   0.003  0.130     56     1.414          30.0        60.0        90.0      19.0      26.9
      155             598       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      156             608       1   0.013  0.176     72     1.000          12.8       112.8       100.0      38.1      38.1
      157             608       0   0.005  0.480    196     1.834          50.0       150.0       100.0      20.7      38.1
      158             598       0   0.000  0.015    420     5.187          58.8       121.2         0.0      22.6     117.4
      159             598       0   0.000  0.007    204     6.169          60.0       120.0         0.0      19.0     117.4
      160             608       0   0.002  0.315    300     1.414          90.0        10.0       100.0      26.9      38.1
      161             598       0   0.000  0.017    504     5.657          74.0        75.4         1.4      20.7     117.4
