roi,window_index,start_row,end_row,start_frame,end_frame,best_a_deg_per_frame,avg_wavelength_km,avg_wavelength_error_km,avg_angle_deg,avg_angle_error_deg,direction,phase_slope_deg_per_point,phase_speed_m_per_s,phase_speed_error_m_per_s,SSE_min
ROI_31,0,0,29,0.0,29.0,0.2583333333333333,25.064366066763682,3.78116544636604,10.34392043822309,6.941961694295595,-1,42.60714285714285,-16.35091220685341,2.466669377890303,0.055966505884771645
ROI_31,1,5,34,5.0,34.0,0.3208333333333333,25.00507463299223,3.8159317215084014,10.31590032350149,6.9680327140850835,-1,42.55357142857142,-20.258741022100182,3.0916113484443066,0.04616517030539577
ROI_31,2,10,39,10.0,39.0,0.3270833333333333,24.90534532149775,3.879874047452891,10.26117047320025,6.990847989069215,-1,42.55357142857144,-20.571018599932376,3.2046518594807645,0.05878342169057085
ROI_31,3,15,44,15.0,44.0,0.24583333333333335,24.786649388330485,3.958798384018655,10.250003119435178,6.980412493384848,-1,42.66071428571429,-15.387334952772504,2.457587380651311,0.10018819791422508
