Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 9483593
n_zero_after_scaled  = 19267475
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0009600694891098028
WPS_scaled min       = -0.9160887694492502
WPS_scaled median    = -6.268725737378811e-17
WPS_scaled max       = 100.14226708571105
