Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 15987933
n_zero_after_scaled  = 17413263
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0
WPS_scaled min       = -0.6744907594765952
WPS_scaled median    = 0.0
WPS_scaled max       = 20.44502776259642
