cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        2              99       0   0.006  0.141   1544     2.000          11.3        81.3        70.0      34.9      69.8
        3              71       1   0.076  0.354   9672     1.000           3.7        88.7        92.4     117.4     117.4
        4              78       1   0.136  0.162   7892     1.189           0.0        90.0        90.0      98.7      83.0
        5              70       1   0.024  0.198   9852     1.091           6.6        73.2        66.7     107.6     117.4
        6              86       1   0.047  0.341   6552     1.189           5.1        90.0        95.1      98.7      83.0
        7              86       1   0.047  0.223   4868     1.000           3.7        89.7        93.4      83.0      83.0
        8              69       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        9              87       0   0.037  0.260   4924     2.000           2.5        67.2        64.7     117.4      58.7
       10              69       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       11              69       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       12              69       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       13              83       0   0.000  0.026    176     2.828          50.0       100.0        50.0      38.1     107.6
       14              69       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
