Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   1.557028e+03    31.81%
   2    0   1.553917e+03    31.75%
   3    3   3.319383e+02     6.78%
   4    5   3.104132e+02     6.34%
   5    2   2.304990e+02     4.71%
   6    6   1.992301e+02     4.07%
   7    4   1.505634e+02     3.08%
   8   12   1.354319e+02     2.77%
   9    9   1.127095e+02     2.30%
  10   11   1.119252e+02     2.29%
  11    8   1.081678e+02     2.21%
  12    7   3.892039e+01     0.80%
  13   13   2.979279e+01     0.61%
  14   14   1.620419e+01     0.33%
  15   10   8.134365e+00     0.17%
