Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 5901864
n_zero_after_scaled  = 20885189
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0019325143170561133
WPS_scaled min       = -0.9465458548868508
WPS_scaled median    = -7.432741243680577e-17
WPS_scaled max       = 72.5534270528968
