cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      116             358       0   0.004  0.176   2968     1.682          24.5       100.0       124.5      34.9      58.7
      117             342       1   0.122  0.566  18224     1.091           3.3       106.4       103.1      83.0      90.5
      118             330       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      119             330       0   0.021  0.043    524     1.542           0.3        99.8        99.5      26.9      41.5
      120             330       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      121             336       0   0.008  0.437   7328     2.828          19.4        92.2       111.6      20.7      58.7
      122             337       0   0.045  0.180   1088     1.834           1.2        98.8       100.0      22.6      41.5
      123             350       0   0.014  0.445   2740     4.000           6.9        93.1       100.0      24.7      98.7
      124             330       0   0.028  0.043    960     1.542           0.0       100.0       100.0      26.9      41.5
      125             335       1   0.193  0.279   7020     1.091           0.3       107.4       107.8      41.5      45.3
      126             337       0   0.005  0.157    656     1.542          20.3        79.7       100.0      26.9      41.5
      127             330       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      128             332       1   0.106  0.266    976     1.091           1.3        85.2        83.9      17.4      19.0
      129             343       0   0.000  0.026    528     3.364          17.6        97.6        80.0      32.0     107.6
      130             330       0   0.014  0.046    608     1.834           0.8       100.0        99.2      22.6      41.5
      131             330       0   0.059  0.204   1932     2.594           0.3       100.0        99.7      16.0      41.5
      132             347       0   0.003  0.016    284     5.657           0.0        90.0        90.0      16.0      90.5
