ix,iy,x_disp,y_disp
14.000,54.000,14.000,45.000
15.000,54.000,15.000,45.000
16.000,53.000,16.000,46.000
17.000,52.000,17.000,47.000
18.000,52.000,18.000,47.000
19.000,51.000,19.000,48.000
20.000,50.000,20.000,49.000
21.000,50.000,21.000,49.000
22.000,49.000,22.000,50.000
23.000,49.000,23.000,50.000
24.000,48.000,24.000,51.000
25.000,47.000,25.000,52.000
26.000,47.000,26.000,52.000
27.000,46.000,27.000,53.000
28.000,45.000,28.000,54.000
29.000,45.000,29.000,54.000
30.000,44.000,30.000,55.000
31.000,43.000,31.000,56.000
32.000,43.000,32.000,56.000
33.000,42.000,33.000,57.000
34.000,42.000,34.000,57.000
35.000,41.000,35.000,58.000
36.000,40.000,36.000,59.000
37.000,40.000,37.000,59.000
38.000,39.000,38.000,60.000
39.000,39.000,39.000,60.000
40.000,38.000,40.000,61.000
41.000,38.000,41.000,61.000
42.000,37.000,42.000,62.000
43.000,36.000,43.000,63.000
