ix,iy,x_disp,y_disp
10.000,67.000,10.000,32.000
11.000,67.000,11.000,32.000
12.000,66.000,12.000,33.000
13.000,66.000,13.000,33.000
14.000,65.000,14.000,34.000
15.000,64.000,15.000,35.000
16.000,63.000,16.000,36.000
17.000,63.000,17.000,36.000
18.000,62.000,18.000,37.000
19.000,61.000,19.000,38.000
20.000,61.000,20.000,38.000
21.000,60.000,21.000,39.000
22.000,59.000,22.000,40.000
23.000,59.000,23.000,40.000
24.000,58.000,24.000,41.000
25.000,58.000,25.000,41.000
26.000,57.000,26.000,42.000
27.000,56.000,27.000,43.000
28.000,56.000,28.000,43.000
29.000,55.000,29.000,44.000
30.000,54.000,30.000,45.000
31.000,54.000,31.000,45.000
32.000,53.000,32.000,46.000
33.000,53.000,33.000,46.000
34.000,52.000,34.000,47.000
35.000,52.000,35.000,47.000
36.000,51.000,36.000,48.000
37.000,50.000,37.000,49.000
38.000,50.000,38.000,49.000
39.000,49.000,39.000,50.000
40.000,48.000,40.000,51.000
41.000,48.000,41.000,51.000
42.000,47.000,42.000,52.000
43.000,47.000,43.000,52.000
44.000,46.000,44.000,53.000
45.000,45.000,45.000,54.000
46.000,45.000,46.000,54.000
47.000,44.000,47.000,55.000
48.000,44.000,48.000,55.000
49.000,43.000,49.000,56.000
50.000,42.000,50.000,57.000
51.000,42.000,51.000,57.000
