ix,iy,x_disp,y_disp
9.000,49.000,9.000,50.000
10.000,49.000,10.000,50.000
11.000,48.000,11.000,51.000
12.000,47.000,12.000,52.000
13.000,47.000,13.000,52.000
14.000,46.000,14.000,53.000
15.000,45.000,15.000,54.000
16.000,45.000,16.000,54.000
17.000,44.000,17.000,55.000
18.000,43.000,18.000,56.000
19.000,42.000,19.000,57.000
20.000,42.000,20.000,57.000
21.000,41.000,21.000,58.000
22.000,41.000,22.000,58.000
23.000,40.000,23.000,59.000
24.000,40.000,24.000,59.000
25.000,39.000,25.000,60.000
26.000,39.000,26.000,60.000
27.000,38.000,27.000,61.000
28.000,37.000,28.000,62.000
29.000,37.000,29.000,62.000
30.000,36.000,30.000,63.000
31.000,36.000,31.000,63.000
32.000,35.000,32.000,64.000
33.000,34.000,33.000,65.000
34.000,34.000,34.000,65.000
35.000,34.000,35.000,65.000
