ix,iy,x_disp,y_disp
8.000,65.000,8.000,34.000
9.000,65.000,9.000,34.000
10.000,64.000,10.000,35.000
11.000,63.000,11.000,36.000
12.000,63.000,12.000,36.000
13.000,62.000,13.000,37.000
14.000,61.000,14.000,38.000
15.000,61.000,15.000,38.000
16.000,60.000,16.000,39.000
17.000,60.000,17.000,39.000
18.000,59.000,18.000,40.000
19.000,58.000,19.000,41.000
20.000,58.000,20.000,41.000
21.000,57.000,21.000,42.000
22.000,57.000,22.000,42.000
23.000,56.000,23.000,43.000
24.000,55.000,24.000,44.000
25.000,55.000,25.000,44.000
26.000,54.000,26.000,45.000
27.000,54.000,27.000,45.000
28.000,53.000,28.000,46.000
29.000,53.000,29.000,46.000
30.000,52.000,30.000,47.000
31.000,52.000,31.000,47.000
32.000,51.000,32.000,48.000
33.000,50.000,33.000,49.000
34.000,50.000,34.000,49.000
35.000,49.000,35.000,50.000
36.000,49.000,36.000,50.000
37.000,48.000,37.000,51.000
38.000,48.000,38.000,51.000
