ix,iy,x_disp,y_disp
7.000,62.000,7.000,37.000
8.000,62.000,8.000,37.000
9.000,61.000,9.000,38.000
10.000,61.000,10.000,38.000
11.000,60.000,11.000,39.000
12.000,59.000,12.000,40.000
13.000,59.000,13.000,40.000
14.000,58.000,14.000,41.000
15.000,58.000,15.000,41.000
16.000,57.000,16.000,42.000
17.000,56.000,17.000,43.000
18.000,56.000,18.000,43.000
19.000,55.000,19.000,44.000
20.000,55.000,20.000,44.000
21.000,54.000,21.000,45.000
22.000,54.000,22.000,45.000
23.000,53.000,23.000,46.000
24.000,53.000,24.000,46.000
25.000,52.000,25.000,47.000
26.000,52.000,26.000,47.000
27.000,51.000,27.000,48.000
28.000,51.000,28.000,48.000
29.000,50.000,29.000,49.000
30.000,50.000,30.000,49.000
31.000,49.000,31.000,50.000
