ix,iy,x_disp,y_disp
17.000,26.000,17.000,73.000
18.000,26.000,18.000,73.000
19.000,25.000,19.000,74.000
20.000,25.000,20.000,74.000
21.000,24.000,21.000,75.000
22.000,24.000,22.000,75.000
23.000,23.000,23.000,76.000
24.000,23.000,24.000,76.000
25.000,23.000,25.000,76.000
26.000,22.000,26.000,77.000
27.000,22.000,27.000,77.000
28.000,21.000,28.000,78.000
29.000,21.000,29.000,78.000
30.000,20.000,30.000,79.000
31.000,20.000,31.000,79.000
32.000,19.000,32.000,80.000
33.000,19.000,33.000,80.000
34.000,18.000,34.000,81.000
35.000,18.000,35.000,81.000
36.000,17.000,36.000,82.000
37.000,17.000,37.000,82.000
38.000,17.000,38.000,82.000
39.000,16.000,39.000,83.000
40.000,16.000,40.000,83.000
41.000,15.000,41.000,84.000
42.000,15.000,42.000,84.000
43.000,14.000,43.000,85.000
44.000,14.000,44.000,85.000
45.000,14.000,45.000,85.000
