image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,24.5733910107795,4.061550744791392,89.99729610781539,7.557594618888491,0.004607393315487318,0.5953224979850738,0.9516382927445388,1.0,0.744497524206595,0.2575610163097868,-0.3065456450916886
1,25.644246013106788,3.3259104118927967,91.41306204537646,6.331282744880525,0.1926427371745394,0.7014273143493162,0.9920590638751701,0.99195986052471,0.7207103862862179,0.2462713421021434,-0.2983615438977587
2,25.632962121924425,3.332942132679445,91.32663715888708,6.412116913811306,0.19682263148339985,0.7051621335709637,0.9913848178251099,0.98797115764736,0.7143879730246263,0.2392342192560568,-0.30428305352868246
3,25.57932236792445,3.3443774972775224,91.33388986310266,6.3694583125597255,0.20389170636159526,0.7111770207442543,0.9915151859122715,0.9832614322325175,0.7059436219754545,0.229317339928931,-0.31293649445331406
4,25.571135833515836,3.348799803055543,91.36413986294427,6.365950901265843,0.20884086301625016,0.7151680729287699,0.9906291113250802,0.978753647849093,0.6989514307070839,0.22163137855413484,-0.31935203055025785
5,25.56453964399737,3.3459314025780853,91.37880064312876,6.358473007259128,0.21579796844814014,0.7201756435438211,0.9900876264660621,0.9739518037894319,0.6912699011363015,0.21317530145098695,-0.3263819814926717
6,25.52313793380482,3.3428796266955327,91.27866713783132,6.430051528876519,0.2176669699261209,0.7229032452413797,0.9903202852022008,0.9723255850893986,0.6881819695959068,0.20943972929514065,-0.3297618290766521
7,25.511736235047984,3.3458744258887476,91.2785171061888,6.4369209453610745,0.22680517098678,0.7291842920767238,0.9904921905028854,0.9674316762121566,0.6794288195611988,0.199158970276875,-0.338784403990829
8,25.511541323165186,3.3433562711965172,91.3143656689907,6.418651985448682,0.23385781514829684,0.7342858507300563,0.9907928580563861,0.963983259060218,0.6731635793360924,0.19170564764011377,-0.34546042000264554
9,25.502203373094808,3.3431843637569583,91.33434185914598,6.404372928325599,0.24505540801075676,0.7414280938666684,0.9908292081549233,0.9584472937700701,0.6636851388537481,0.18092764576596276,-0.3546548126590052
10,25.51204813013828,3.346159079361824,91.42367771748728,6.3227304677015335,0.25697679151475583,0.7489448458729162,0.9917129354883858,0.9531167092350397,0.6533603301199862,0.16855250743437256,-0.3654606322540722
11,25.50068244386178,3.348284918848347,91.39247796007365,6.3243689059523005,0.26633800047181966,0.754561466701932,0.9915650378402459,0.9480601367466563,0.6445719635032163,0.15837129048351128,-0.3742535112081593
12,25.28202186250539,3.6028273248689415,91.51199464755796,6.330633174583515,0.21566727118222295,0.7350902529700138,0.9900293965604297,0.9569204897605592,0.6527807794640588,0.15809528544564233,-0.3829425377361154
13,25.253157249634175,3.5977942772363987,91.44809409018147,6.323085858699584,0.22067176198358118,0.7395013382666591,0.9908680337951652,0.9542456203794654,0.6469615715183785,0.15066022036852544,-0.3898020452967843
14,25.248783301064485,3.5985432774678174,91.44751230050058,6.327842002870223,0.2299351201981772,0.7464704416672532,0.9912496851037056,0.9488917883411172,0.6371364013913228,0.1390114424387534,-0.4000375001162625
15,25.248269022433593,3.5989760740187138,91.43979344141295,6.334080739816794,0.23691937528547524,0.7505564853896083,0.9909432791758055,0.9444766051254101,0.6294311914450483,0.1299920031631836,-0.4079018572292117
16,25.25425762901182,3.5992489855566485,91.43848261829687,6.342869594263526,0.23945674657605065,0.7528783475703158,0.9912068252450601,0.9432221983188953,0.6271734128179605,0.12738043060740134,-0.4102301679477409
17,25.25013530501371,3.598993892534571,91.42197741021707,6.353221378445552,0.24784730705653057,0.7591463274689623,0.9914377225383488,0.9378893083559949,0.6172895800734084,0.11551367742611762,-0.42075380689956765
18,25.24856691091104,3.599334961842547,91.43574558705204,6.345003594754814,0.25578130749814276,0.7647586229723311,0.9911909054877717,0.9326120058304197,0.6081848361200661,0.10494562010618069,-0.4299262586857946
19,25.231564208822284,3.6025369895402686,91.45162790254702,6.353800474375443,0.2626442874111168,0.7696889511183103,0.9915669266589293,0.928607819366668,0.6003460911519061,0.0951618106164056,-0.4389159151076999
20,25.19876550362811,3.593220830668841,91.40201818806918,6.3400063270888545,0.2657659183517911,0.7719241386180569,0.9913233446507796,0.9266845607323779,0.5974252109518388,0.09202251621601198,-0.4415207576432064
21,25.193707178740226,3.5933006402147014,91.40826281184141,6.335559598093158,0.2707609076841706,0.7747483651665348,0.9916903218750897,0.9246969554520894,0.5934575078038802,0.087056276285995,-0.44616655096260827
22,25.172985111232148,3.590433323340119,91.38626773106209,6.332651177623107,0.2801212801000199,0.780140368257177,0.9917335114840093,0.9200778504759359,0.5853561919814882,0.07768329288362863,-0.45425410823261547
23,25.175731155142355,3.586086445684522,91.38647761473155,6.3343476413555875,0.28352680891966453,0.7829962601195806,0.9921710776158326,0.9179284400457599,0.5808201803216928,0.07188004837708184,-0.4596297460491039
24,25.175521768554685,3.585206614323426,91.38999349836232,6.336653513860314,0.29169826120030407,0.7877504762004148,0.9924428844662854,0.9143182550089362,0.5743901296362022,0.06450100373771517,-0.46587686182033117
25,25.17097484465097,3.5852736491420574,91.38234683898176,6.344678603892824,0.298619580730364,0.7915482433387859,0.9922219712141087,0.910307935075281,0.5672829533004995,0.05605380984595265,-0.47334563464972046
26,25.137107045795243,3.5703134517782025,91.43253083570522,6.342304243613556,0.3060021512332429,0.7958459222016254,0.9927953934928959,0.9072003049139079,0.561184077092624,0.04869426430802459,-0.4798187329331586
27,25.135337332689026,3.571944884272146,91.43284428038525,6.342732042117466,0.31360737220273105,0.8001360938151569,0.9918431434350585,0.9017786924074769,0.5526133903921893,0.03922170898367017,-0.4876986441309862
28,25.135723268972725,3.5719820831620765,91.43667409836868,6.344399387447595,0.31878260696971417,0.8031002649169541,0.9918099966511655,0.8986946474101811,0.5469093733982724,0.032301252812160675,-0.4938719824560118
29,25.13347050093457,3.571549579616546,91.43798168210805,6.349882378540532,0.32566946258551543,0.8064978890118686,0.9915230280455412,0.8948842905362695,0.5403698150350826,0.02476831347479247,-0.5003026375508607
30,25.12516798520169,3.5730266600294103,91.44575949694236,6.347354204356794,0.33370264410344985,0.8111512052698915,0.9914626167721672,0.8900784284977208,0.5316296444730209,0.014329082246280267,-0.5095129302931112
31,25.10665098986158,3.5839539403736014,91.38930968134898,6.324410378968281,0.3418473225242149,0.8151189333147955,0.9911031313288547,0.8858665061741022,0.5248081910197089,0.006911297615929346,-0.5154844848246081
32,25.09981892357447,3.5870323709315155,91.40258423206039,6.323836188346177,0.35075453074906515,0.819196070750092,0.9904096431669727,0.88090316318942,0.5169282340254424,-0.0016611812923211788,-0.522454069643044
33,25.084074456790365,3.59730306903069,91.40324581346633,6.347049372047012,0.3578168526328953,0.8221061833079562,0.989541731070378,0.8765455728080882,0.510300436208029,-0.008585118723202223,-0.5277817023416269
34,25.05164980941702,3.6007422631766297,91.32281234316926,6.337712581316908,0.36136326238058913,0.8244836095343426,0.9892285372914698,0.8747549323652446,0.5080540768540678,-0.010564764782854175,-0.529141888187203
