cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      100             257       1   0.123  0.389   1684     1.091           1.9         2.9         1.0      20.7      19.0
      101             255       1   0.044  0.285    344     1.000           5.4        20.0        14.6      20.7      20.7
      102             300       1   0.229  0.273    604     1.189           0.0       170.0       170.0      22.6      19.0
      103             260       0   0.005  0.331    796     1.189          54.7        82.8        28.1      17.4      20.7
      104             269       0   0.079  0.226    808     1.475           0.9         3.6         2.7      16.7      24.7
      105             282       1   0.228  0.228    244     1.000           0.0        30.0        30.0      24.7      24.7
      106             247       1   0.094  0.199   5028     1.091           0.9        11.1        10.2     107.6     117.4
      107             276       0   0.061  0.157     56     2.594           0.0         0.0         0.0      29.3      76.1
      108             251       0   0.001  0.026     84     1.414          33.3       136.7       170.0      24.7      34.9
      109             247       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      110             257       0   0.003  0.304    680     1.091          84.0        96.4         0.4      17.4      19.0
      111             259       0   0.002  0.289    296     1.834          90.0       100.0        10.0      17.4      32.0
