Red noise filter diagnostics

name                = amp0p15
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 5153178
n_zero_after_scaled  = 20056645
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.008468197007685615
WPS_scaled min       = -0.8220009674677378
WPS_scaled median    = -5.527409450258993e-17
WPS_scaled max       = 937.6007064448066
