Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 21060000
n_zero_after_white   = 8056059
n_zero_after_scaled  = 17686077
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0006880320525372642
WPS_scaled min       = -0.6744907594765953
WPS_scaled median    = 4.3745069500507544e-17
WPS_scaled max       = 490.1037488747321
