saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_temp_nearest,awe_temp_avg,awe_MLCloud_nearest,awe_time_nearest,awe_local_time_nearest,awe_file_nearest,awe_x_nearest,distance_km_nearest,peak_altitude_km,fwhm_center_km,fwhm_width_km,z_left_km,z_right_km,count_in_window,z_effective_km,T_weighted_K,T_weighted_std_K,saber_profile_mean_local_time_h,delta_temp_simple_K,delta_temp_weighted_K,delta_temp_simple_nearest_K,delta_temp_weighted_nearest_K,awe_temp_std,awe_count_used
33.15288544,-13.23950195,86.72198486,185.6681366,2024-01-07T21:44:04.474000,20.852,SABER_L2A_2024007_119794_02.08.nc,40,192,31.15981293,-10.97380161,179.25,179.4656401,12,2024-01-07T21:47:25.733628,21.059,awe_l3a_tmp_2024007T2141_00727_v01.nc,252,311.7630024,88.56,88.73,7.7,84.88,92.58,68,88.56,169.65,17.27,20.86,6.202496455,-9.815640141,6.418136597,-9.6,1.347449091,78
29.08250618,-13.09088135,87.3201828,173.739563,2024-01-07T21:45:15.559000,20.882,SABER_L2A_2024007_119794_02.08.nc,41,190,29.2272644,-13.23816776,179.4400024,181.7557991,4,2024-01-07T21:46:45.886668,20.897,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,21.82673208,87.32,86.94,10.3,81.79,92.09,68,87.34,178.84,12.08,20.9,-8.016236115,-2.915799103,-5.700439453,-0.600002441,2.515390972,100
29.08092117,-13.08163452,86.95243073,172.6222229,2024-01-07T21:45:15.604000,20.882,SABER_L2A_2024007_119794_02.08.nc,41,191,29.2272644,-13.23816776,179.4400024,181.7557991,4,2024-01-07T21:46:45.886668,20.897,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,22.57192613,87.32,86.94,10.3,81.79,92.09,68,87.34,178.84,12.08,20.9,-9.133576202,-2.915799103,-6.817779541,-0.600002441,2.515390972,100
29.0792141,-13.0723877,86.58455658,172.9247742,2024-01-07T21:45:15.652000,20.883,SABER_L2A_2024007_119794_02.08.nc,41,192,29.2272644,-13.23816776,179.4400024,181.7205041,4,2024-01-07T21:46:45.886668,20.897,awe_l3a_tmp_2024007T2141_00727_v01.nc,221,23.34006041,87.32,86.94,10.3,81.79,92.09,68,87.34,178.84,12.08,20.9,-8.795729974,-2.880504144,-6.515228271,-0.600002441,2.503303689,99
25.65904045,-12.86813354,87.23097992,174.8279572,2024-01-07T21:46:15.467000,20.913,SABER_L2A_2024007_119794_02.08.nc,42,191,27.57745743,-15.07111454,184.4700012,183.5032907,3,2024-01-07T21:46:12.466637,20.765,awe_l3a_tmp_2024007T2141_00727_v01.nc,195,309.8794603,85.76,87.04,9.9,82.09,91.99,69,85.83,185.76,13.6,20.93,-8.67533353,2.256709317,-9.642044067,1.289998779,2.09696378,79
25.66261292,-12.85952759,86.86422729,177.8157806,2024-01-07T21:46:15.424000,20.914,SABER_L2A_2024007_119794_02.08.nc,42,192,27.57745743,-15.07111454,184.4700012,183.5032907,3,2024-01-07T21:46:12.466637,20.765,awe_l3a_tmp_2024007T2141_00727_v01.nc,195,310.218418,85.76,87.04,9.9,82.09,91.99,69,85.83,185.76,13.6,20.93,-5.687510044,2.256709317,-6.654220581,1.289998779,2.09696378,79
33.27475739,-37.62472534,87.43773651,185.7413788,2024-01-07T23:20:41.066000,20.836,SABER_L2A_2024007_119795_02.08.nc,38,190,30.94431114,-34.82891846,185.6499939,186.0953036,16,2024-01-07T23:20:13.979746,21.015,awe_l3a_tmp_2024007T2314_00728_v01.nc,253,374.4573932,84.87,86.7,7.34,83.02,90.37,68,84.88,188.88,6.98,20.85,-0.353924838,2.784696378,0.091384888,3.230006104,1.205697328,66
33.2780838,-37.61526489,87.07086945,185.9388733,2024-01-07T23:20:41.020000,20.837,SABER_L2A_2024007_119795_02.08.nc,38,191,30.94431114,-34.82891846,185.6499939,186.0953036,16,2024-01-07T23:20:13.979746,21.015,awe_l3a_tmp_2024007T2314_00728_v01.nc,253,374.0743935,84.87,86.7,7.34,83.02,90.37,68,84.88,188.88,6.98,20.85,-0.156430331,2.784696378,0.288879395,3.230006104,1.205697328,66
33.281353,-37.60580444,86.70366669,188.3630676,2024-01-07T23:20:40.975000,20.838,SABER_L2A_2024007_119795_02.08.nc,38,192,30.94431114,-34.82891846,185.6499939,186.0488065,16,2024-01-07T23:20:13.979746,21.015,awe_l3a_tmp_2024007T2314_00728_v01.nc,253,373.6891208,84.87,86.7,7.34,83.02,90.37,68,84.88,188.88,6.98,20.85,2.314261138,2.831193511,2.71307373,3.230006104,1.254870448,67
29.19564629,-37.45019531,87.15332031,180.7711639,2024-01-07T23:21:52.340000,20.868,SABER_L2A_2024007_119795_02.08.nc,39,191,28.94442749,-37.15475845,186.5200043,185.9833335,21,2024-01-07T23:19:32.783197,20.849,awe_l3a_tmp_2024007T2314_00728_v01.nc,221,40.60623346,85.68,87.15,8.09,83.1,91.19,68,85.7,188.21,8.77,20.88,-5.212169609,2.226666451,-5.748840332,1.689995728,1.673966191,99
29.19392395,-37.44094849,86.78533173,180.3948059,2024-01-07T23:21:52.386000,20.868,SABER_L2A_2024007_119795_02.08.nc,39,192,28.94442749,-37.15475845,186.5200043,185.9833335,21,2024-01-07T23:19:32.783197,20.849,awe_l3a_tmp_2024007T2314_00728_v01.nc,221,39.82119474,85.68,87.15,8.09,83.1,91.19,68,85.7,188.21,8.77,20.88,-5.588527641,2.226666451,-6.125198364,1.689995728,1.673966191,99
25.78164291,-37.23989868,87.24081421,191.1876221,2024-01-07T23:22:52.153000,20.898,SABER_L2A_2024007_119795_02.08.nc,40,191,27.29050446,-38.97802353,185.0299988,186.253563,13,2024-01-07T23:18:59.311001,20.718,awe_l3a_tmp_2024007T2314_00728_v01.nc,195,244.2128497,87.97,88.88,6.96,85.41,92.36,69,87.98,186.61,7.11,20.91,4.934059055,0.356436985,6.157623291,1.580001221,1.740829104,87
25.78467369,-37.23123169,86.8740387,193.1212463,2024-01-07T23:22:52.118000,20.899,SABER_L2A_2024007_119795_02.08.nc,40,192,27.29050446,-38.97802353,185.0299988,186.253563,13,2024-01-07T23:18:59.311001,20.718,awe_l3a_tmp_2024007T2314_00728_v01.nc,195,244.6019626,87.97,88.88,6.96,85.41,92.36,69,87.98,186.61,7.11,20.91,6.867683323,0.356436985,8.091247559,1.580001221,1.740829104,87
25.7874279,-37.22253418,86.50708008,194.3818817,2024-01-07T23:22:52.088000,20.9,SABER_L2A_2024007_119795_02.08.nc,40,193,27.29050446,-38.97802353,185.0299988,186.253563,13,2024-01-07T23:18:59.311001,20.718,awe_l3a_tmp_2024007T2314_00728_v01.nc,195,245.0179462,87.97,88.88,6.96,85.41,92.36,69,87.98,186.61,7.11,20.91,8.128318699,0.356436985,9.351882935,1.580001221,1.740829104,87
