image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,118.18832243348257,16.913201668991473,19.321570509901367,8.05615012084077,-0.6869251157671552,0.10610089068413475,0.7293463855874989,1.0,0.7168088005741238,0.07052650654950221,-0.6712562728752999
1,118.19846415996525,16.913792793499596,19.318888981543424,8.055745754715845,-0.6854711127652877,0.10804285119223511,0.730477247521661,1.0,0.7156031611807763,0.0688618099053333,-0.6724745771893261
2,118.1962063791547,16.912846155287586,19.319223827080148,8.055561962510492,-0.6837332321078243,0.11054287455397871,0.7321319449088945,1.0,0.7134366442759892,0.06566631658961208,-0.6748223037062879
3,118.19812399472556,16.91305852512203,19.323578754064098,8.05594082781678,-0.6821187207756279,0.11284848624283361,0.7336344359411675,1.0,0.711488648867675,0.06278918155951652,-0.6769125814239256
4,118.19755481189377,16.912544693796416,19.323878875993444,8.055956660268828,-0.6809256177786951,0.11487299860649403,0.7348631105611245,1.0,0.7102111326361473,0.06099654819590983,-0.6781713360339112
5,118.220190175151,16.91504598962269,19.3276624880508,8.056086770635018,-0.6793357356661731,0.11635595762359663,0.7358554193977269,1.0,0.7092246646091691,0.05974892347377714,-0.6789060257843944
6,118.2039986264093,16.911221876414128,19.328941319396215,8.056045132182486,-0.6778891266055702,0.11912425860863607,0.7374308966161258,1.0,0.7073559897484505,0.056934180995283246,-0.6810816418149719
7,118.19066133620046,16.90832408797481,19.330990592648188,8.055783956079393,-0.6775080950254528,0.11984297438743807,0.7381159392420595,1.0,0.7061639477808095,0.05507804929900795,-0.6824468578061971
8,118.17613355706877,16.906082607416693,19.334534769146188,8.0562405145308,-0.6751184411557162,0.1242411681996034,0.7406165450219491,0.9999440173569643,0.7032250289133304,0.05074693489362159,-0.6857155946655179
9,118.17524321261978,16.908459536763594,19.335259211352195,8.056128625486776,-0.6744715030897904,0.12507163198165916,0.7411853725146624,0.9998874841086736,0.7022914603475106,0.0493393790137544,-0.6867574638799242
10,118.14812896889195,16.904761304280026,19.345141759556697,8.057097921717846,-0.6725020379698936,0.1283871415483926,0.7431692251691877,0.9997535380305205,0.6994968153465062,0.045171143252094925,-0.6899132274022037
11,118.14952605629293,16.902930644565195,19.353131149833846,8.057772819720139,-0.6727081754057765,0.1276039476836499,0.7428268626548555,0.9997453086337951,0.6998250001099802,0.04567748383962811,-0.6894437737951558
12,118.16272798949782,16.904352058595535,19.36192740381375,8.058443422361863,-0.6703830816590868,0.13153973478714565,0.7449066657477146,0.9996617279547448,0.697776420981906,0.04293225694442526,-0.69132981457301
13,118.16474038850438,16.904774424797335,19.365716435430425,8.058314509942882,-0.6676272568987185,0.13552742947701524,0.7473204883617799,0.9994885793663479,0.6947842126401269,0.0387940533432527,-0.694203317704274
14,118.15705728293814,16.904055993373852,19.372197131806274,8.058590165229171,-0.6663378980546714,0.13871446835947898,0.748981515020352,0.9993874791752093,0.692839454830044,0.03598753896868745,-0.6962896044166813
15,118.13869980106178,16.902554562868755,19.363833946935504,8.05786309377007,-0.6655585340748487,0.14065481411734537,0.7502042082097387,0.9993263288454299,0.6908741959475937,0.032934243279785,-0.698700956547146
16,118.1418275101275,16.902458295345152,19.362172164816137,8.057550624631075,-0.6657408094198642,0.14002395453322536,0.7500116715670702,0.9993087009535173,0.6909378746614756,0.03309487930656463,-0.6984865386627646
17,118.14572480805315,16.90511807646858,19.369169481487944,8.05882888293279,-0.6639229497631725,0.1432084705003922,0.7517732556926395,0.9991884897483838,0.6889974844945412,0.03041300850102835,-0.7003171680266991
18,118.13768644666743,16.902635631476343,19.37507828876923,8.059297682326056,-0.6617792786975234,0.14647853864636584,0.7537287125107894,0.999089973199659,0.6866442974444775,0.02711646649111632,-0.7026360990561396
19,118.1304986174686,16.901956016061316,19.37437014551507,8.059487139606174,-0.6598125229936818,0.14936430758597585,0.7555035823355338,0.999003495698761,0.6843861381968754,0.02387494752983277,-0.7049925787296214
20,118.11387536007797,16.89837857849101,19.377008775828173,8.058793431362961,-0.6585675155677635,0.15221032729199635,0.7569452323462191,0.998944070660464,0.6827982431954598,0.02155239577023882,-0.7068025935173037
21,118.1108365947163,16.898008234217333,19.374929887146727,8.058984230780368,-0.6566334970542738,0.1553770437998847,0.7587434724764825,0.9988518966120719,0.6807643125408063,0.01873105186444035,-0.7088274291153366
22,118.11042473526282,16.897664977430594,19.37718664149868,8.059314019777092,-0.6542001313345602,0.1598633122745956,0.7611039608113299,0.9987178188558221,0.6783970440478295,0.01553206344078406,-0.7110641630689363
23,118.05210959849764,16.886847529848843,19.40181549777219,8.06057717759842,-0.6527954398785663,0.16274381985525155,0.7628051236646729,0.9985838389967223,0.6755873808028765,0.011008056644564279,-0.7146685400073529
24,117.97205439166626,16.865679386795524,19.41414204694494,8.056865848508439,-0.6501635760822146,0.13835297748829434,0.7628930037675343,0.9981332389244197,0.6718565776307293,0.005607518366722131,-0.7185084488502883
