cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       22             193       0   0.002  0.174   2808     1.414          51.2        91.1        40.0      49.4      69.8
       23             178       0   0.000  0.019    304     2.000          70.3        80.0       150.3      17.4      34.9
       24             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       25             156       0   0.003  0.240   5280     1.189          56.7       101.5       158.2      32.0      38.1
       26             193       0   0.002  0.297   1680     3.668          47.3        87.4        40.0      19.0      69.8
       27             186       0   0.010  0.173    900     2.000           7.2       167.2       160.0      22.6      45.3
       28             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       29             186       0   0.001  0.103    784     1.834          60.7        99.3       160.0      24.7      45.3
       30             193       0   0.000  0.008     56     2.378          50.0        90.0        40.0      29.3      69.8
       31             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       32             141       1   0.130  0.281    664     1.091           1.0       152.8       153.8      16.0      17.4
       33             169       0   0.001  0.104    612     1.189          58.3        92.1       150.5      17.4      20.7
       34             186       0   0.004  0.402   2644     1.091          85.9        74.1       160.0      41.5      45.3
       35             207       0   0.072  0.231    412     1.542           1.1       164.4       165.4      17.4      26.9
       36             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       37             206       0   0.065  0.119    216     1.834           0.0         0.0         0.0      17.4      32.0
       38             169       0   0.001  0.061    220     1.297          68.6        80.0       148.6      16.0      20.7
       39             156       0   0.003  0.104    668     1.834          20.0         0.0       160.0      22.6      41.5
       40             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       41             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       42             166       0   0.030  0.200   1592     3.364           1.0        12.9        13.9      19.0      64.0
       43             193       0   0.004  0.244   3004     1.297          50.0        90.0        40.0      53.8      69.8
       44             153       0   0.011  0.381   2084     2.378          13.9        94.4       108.4      19.0      45.3
       45             162       0   0.029  0.153    928     5.187           0.0        90.0        90.0      22.6     117.4
       46             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       47             193       0   0.001  0.220   1140     2.828          60.2       100.2        40.1      17.4      49.4
       48             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       49             163       1   0.014  0.155    300     1.189           8.3       161.3       153.0      16.0      19.0
       50             186       0   0.000  0.043    304     2.828          76.1        83.9       160.0      16.0      45.3
       51             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       52             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       53             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       54             186       0   0.001  0.180    936     2.828          70.3        89.7       160.0      16.0      45.3
       55             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       56             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       57             175       1   0.745  0.812   7436     1.091           0.0         0.0         0.0     117.4     107.6
       58             186       0   0.006  0.311   4468     1.682          29.8       130.2       160.0      76.1      45.3
       59             153       0   0.002  0.148    816     2.000          29.1        80.9       110.0      22.6      45.3
       60             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       61             190       1   0.364  0.433   3436     1.189           0.0       170.0       170.0     117.4      98.7
       62             204       0   0.000  0.045    224     5.187          69.6        90.4       160.0      16.0      83.0
       63             186       0   0.003  0.164    904     1.682          30.0       130.0       160.0      26.9      45.3
       64             182       0   0.000  0.000      8     4.362          40.0        30.0        70.0      17.4      76.1
       65             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       66             158       0   0.010  0.417    880     1.682          23.9       134.7       158.6      17.4      29.3
       67             186       0   0.003  0.121   2776     2.000          21.4       138.6       160.0      90.5      45.3
       68             159       1   0.101  0.117    476     1.000           0.2       160.0       160.2      22.6      22.6
       69             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       70             193       1   0.010  0.116   1092     1.091          10.0        30.0        40.0      64.0      69.8
       71             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       72             169       0   0.001  0.041     96     1.297          50.0       100.0       150.0      16.0      20.7
       73             159       1   0.159  0.366    996     1.091           1.1       164.6       163.5      20.7      22.6
       74             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       75             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       76             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       77             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       78             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       79             161       0   0.006  0.017    344     2.828           0.0        30.0        30.0      24.7      69.8
       80             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       81             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       82             188       0   0.002  0.171    888     2.594          30.8       120.0       150.8      58.7      22.6
       83             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       84             158       0   0.011  0.132    396     1.542           6.4       152.8       159.2      17.4      26.9
       85             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       86             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       87             193       0   0.002  0.180    820     3.668          25.8        14.2        40.0      19.0      69.8
       88             193       0   0.001  0.086    420     3.084          49.8        90.0        40.2      16.0      49.4
       89             209       0   0.006  0.211   1272     3.364          10.1        80.1        70.0      20.7      69.8
       90             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       91             193       0   0.005  0.230   1064     2.181          20.0        20.0        40.0      32.0      69.8
       92             178       1   0.012  0.164   1104     1.091          11.7       137.0       148.8      32.0      34.9
       93             204       0   0.000  0.001      4     4.362          60.0       100.0       160.0      19.0      83.0
       94             211       1   0.081  0.731    716     1.000           8.0       168.2       160.2      22.6      22.6
       95             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       96             156       0   0.000  0.006     44     2.594          30.0       130.0       160.0      16.0      41.5
       97             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       98             148       0   0.000  0.014    112     2.000          40.4       109.6       150.0      16.0      32.0
       99             141       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      100             195       1   0.025  0.264    536     1.091           8.7        97.0        88.2      20.7      22.6
      101             151       0   0.007  0.034     96     1.000           4.2       170.0       165.8      24.7      24.7
