shift_minutes,correlation
-2.000000000000000000e+02,9.177423558687913818e-01
-1.980000000000000000e+02,9.147444347718139968e-01
-1.960000000000000000e+02,9.110713908813907747e-01
-1.940000000000000000e+02,9.070524576775828018e-01
-1.920000000000000000e+02,9.032030758077989052e-01
-1.900000000000000000e+02,9.000080898183938638e-01
-1.880000000000000000e+02,8.977169217013233338e-01
-1.860000000000000000e+02,8.962781833620048211e-01
-1.840000000000000000e+02,8.955295420653142102e-01
-1.820000000000000000e+02,8.954554810413108967e-01
-1.800000000000000000e+02,8.961707098376892056e-01
-1.780000000000000000e+02,8.977112502434713148e-01
-1.760000000000000000e+02,8.999181296760654369e-01
-1.740000000000000000e+02,9.025406172817018735e-01
-1.720000000000000000e+02,9.054267663333792626e-01
-1.700000000000000000e+02,9.085206634588780528e-01
-1.680000000000000000e+02,9.117398695351589533e-01
-1.660000000000000000e+02,9.150243003542621878e-01
-1.640000000000000000e+02,9.184245886256202640e-01
-1.620000000000000000e+02,9.219865124412038870e-01
-1.600000000000000000e+02,9.256336838640712994e-01
-1.580000000000000000e+02,9.292470776533069410e-01
-1.560000000000000000e+02,9.327844053160431192e-01
-1.540000000000000000e+02,9.362839883902283056e-01
-1.520000000000000000e+02,9.397638505610722559e-01
-1.500000000000000000e+02,9.431638409679424795e-01
-1.480000000000000000e+02,9.464157127764802890e-01
-1.460000000000000000e+02,9.495009820264469491e-01
-1.440000000000000000e+02,9.524071436022536474e-01
-1.420000000000000000e+02,9.550789996879964772e-01
-1.400000000000000000e+02,9.574240251309805716e-01
-1.380000000000000000e+02,9.593392387032091406e-01
-1.360000000000000000e+02,9.607440147479104908e-01
-1.340000000000000000e+02,9.615845963603033564e-01
-1.320000000000000000e+02,9.617874312593355235e-01
-1.300000000000000000e+02,9.612604608604017331e-01
-1.280000000000000000e+02,9.599499236780837386e-01
-1.260000000000000000e+02,9.578573257395168739e-01
-1.240000000000000000e+02,9.550293532000950769e-01
-1.220000000000000000e+02,9.515266464277405412e-01
-1.200000000000000000e+02,9.473685777662317342e-01
-1.180000000000000000e+02,9.425389642872677998e-01
-1.160000000000000000e+02,9.370488168209593072e-01
-1.140000000000000000e+02,9.309579317461017522e-01
-1.120000000000000000e+02,9.243493552458726947e-01
-1.100000000000000000e+02,9.173029697817032257e-01
-1.080000000000000000e+02,9.098819065887001623e-01
