Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   1.669414e+03    16.53%
   2    1   1.266265e+03    12.54%
   3    4   1.012635e+03    10.03%
   4    3   7.123774e+02     7.06%
   5    5   7.036017e+02     6.97%
   6    6   6.759938e+02     6.69%
   7    2   6.433297e+02     6.37%
   8    8   5.467285e+02     5.41%
   9   16   4.506712e+02     4.46%
  10   11   4.427886e+02     4.39%
  11    7   3.937521e+02     3.90%
  12    9   3.044001e+02     3.01%
  13   17   2.773692e+02     2.75%
  14   12   2.036752e+02     2.02%
  15   13   1.448358e+02     1.43%
  16   14   1.407284e+02     1.39%
  17   26   1.334720e+02     1.32%
  18   10   1.041321e+02     1.03%
  19   20   5.932526e+01     0.59%
  20   18   4.672666e+01     0.46%
  21   19   4.444796e+01     0.44%
  22   24   3.708700e+01     0.37%
  23   15   2.818391e+01     0.28%
  24   23   2.171774e+01     0.22%
  25   25   1.533539e+01     0.15%
  26   21   1.050184e+01     0.10%
  27   22   7.510556e+00     0.07%
