method,tag,N,mean_K,std_K,median_K,IQR_K,min_K,max_K,RMSE_K,MAE_K,corr_AWE_SABER,slope_SABER_vs_AWE,intercept,pct_|dT|<=5K,pct_|dT|<=10K,pct_|dT|<=15K
Method 1,m1,13122,-0.6963785995105929,8.983065876377701,-0.406977185,11.29769701375,-45.05212068,50.65309805,9.00967624618601,6.976054923272671,0.7845538251997646,0.9675250216622411,5.686262136079736,44.89407102575827,75.79637250419144,90.88553574150282
Method 2,m2,13122,-1.0831124541417467,5.073660817927603,-0.9977274574999999,6.1572668862499995,-23.53085582,52.34293509,5.187793841071152,3.9512641457910385,0.904609080798274,0.7532062390085993,47.42179787196535,70.27892089620484,94.81024234110654,99.26078341716202
Method 3,m3,13122,-0.007165190009297343,5.07357028297596,-0.042546153,6.09010763675,-26.57085582,50.55293509,5.073382015975167,3.8335470349353753,0.9024070824586432,0.8455339248940369,30.351637606956242,71.80307879896357,95.09983234263069,99.1617131534827
Method 4,m4_m0p75,13122,-0.6210860862154397,5.005178122335981,-0.5923617125,6.09608587275,-24.29085582,48.57293509,5.043376529393905,3.839349492001143,0.9059850544519804,0.7740679099716461,43.783665973146924,71.33821063862216,95.29035208047554,99.33699131229994
