lat_band_deg,N,mean_K,std_K,median_K,IQR_K,pct_within_10K
-60..-30,2800,-0.18400112657607132,5.101891573024255,-0.2863269465,6.41167495775,95.35714285714286
-30..0,2872,-0.34819435525034814,5.13980771634045,-0.340785618,6.5285562622499995,94.39415041782729
0..30,2231,1.0433671889309726,4.7392089993571425,0.991580526,5.6052586685,96.68310174809503
30..60,5219,-1.7172689172508144,4.72949641774087,-1.688747391,5.6860540645,95.15232803219007
