cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      123             484       1   0.182  0.402   3232     1.000           1.2        16.3        15.1      20.7      20.7
      124             487       1   0.012  0.196   2364     1.189          12.8         1.6        14.4      32.0      26.9
      125             492       0   0.032  0.042    192     1.091           0.2         9.8        10.0      22.6      20.7
      126             483       0   0.009  0.700   3148     1.000          73.1       178.0        71.1      53.8      53.8
      127             492       1   0.006  0.071    224     1.091          10.0        20.0        10.0      19.0      20.7
      128             484       1   0.012  0.158    528     1.000          12.3         0.0        12.3      16.0      16.0
      129             483       0   0.004  0.421   1884     1.414          70.0         0.0        70.0      38.1      53.8
      130             487       1   0.047  0.292    948     1.091           4.8        11.8        16.6      24.7      26.9
      131             487       0   0.006  0.166   1268     1.189          23.0       170.0        13.0      32.0      26.9
      132             483       1   0.237  0.810   3672     1.189           1.9        69.3        71.2      64.0      53.8
      133             504       0   0.000  0.016    128     3.668          78.1       121.9        20.0      20.7      76.1
      134             491       1   0.041  0.450    396     1.000          10.0        10.0        20.0      19.0      19.0
      135             483       0   0.007  0.605   2704     1.091          80.8       170.0        70.8      49.4      53.8
      136             504       0   0.001  0.331   1820     4.000          79.7        90.5        10.8      19.0      76.1
      137             483       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
