method,N,mean_dT_K,std_dT_K,median_dT_K,iqr_dT_K,rmse_dT_K,mae_dT_K,r,slope_ols,intercept_ols_K,slope_orth,intercept_orth_K,slope_orth_se,intercept_orth_se_K,slope_orth_ci_low,slope_orth_ci_high,intercept_orth_ci_low_K,intercept_orth_ci_high_K
Method 1,13122,-0.6963785995105929,8.983065876377701,-0.406977185,11.29769701375,9.00967624618601,6.976054923272671,0.7845538251997648,0.9675250216622394,5.686262136079768,1.304740979921441,-60.590250487751405,0.010028538348738007,1.987229103489101,1.2850673322494375,1.3238910133231498,-64.38887704969402,-56.66223193697037
Method 2,13122,-1.0831124541417467,5.073660817927603,-0.9977274574999999,6.1572668862499995,5.187793841071152,3.9512641457910385,0.9046090807982745,0.7532062390085988,47.42179787196537,0.8169060395103461,34.90222242279725,0.004151280086272542,0.8230496011816536,0.8083547458713831,0.8250398751230326,33.294225197487556,36.613588355038395
Method 3,13122,-0.007165190009297343,5.07357028297596,-0.042546153,6.09010763675,5.073382015975167,3.8335470349353753,0.9024070824586429,0.8455339248940369,30.35163760695626,0.930413693094913,13.669345767288519,0.00481945481231303,0.9531275184941652,0.9207096188067205,0.9393277139590276,11.930307137142693,15.57155837994862
Method 4,13122,-0.6210860862154397,5.005178122335981,-0.5923617125,6.09608587275,5.043376529393905,3.839349492001143,0.9059850544519805,0.7740679099716452,43.783665973146896,0.8406849194495575,30.69074150890478,0.004234443835393942,0.8379723490266324,0.832584277803273,0.849222444854533,28.98142460905358,32.29015680499465
