image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,20.15873679831797,-0.6430837315308813,-0.11553860121796056,0.555601294781296,1.0,0.8127977476556156,0.2831854886290812,-0.29050125227964774
1,20.15873679831797,-0.6645582961436949,-0.09913090197335905,0.622354562289454,0.9356135853339815,0.9074168314519035,0.4147721693713293,-0.29130929698962527
2,25.39841683149119,-0.4394500596943992,-0.06182185503727744,0.3569618491719295,0.5579540740875042,0.6618247739450125,0.5429528832459878,0.34474337127168697
3,25.39841683149119,-0.4837300342835944,-0.24694039916931843,0.08456861906053148,0.29009710834820956,0.4772396357564641,0.5459596152366606,0.4730345155076696
4,25.39841683149119,-0.636363954061926,-0.3701148600298707,0.053520036417129324,0.37687976135654244,0.6095018422887291,0.6861750934099096,0.5906922827520711
5,26.908685288118868,-0.6346180121396674,-0.2928162366850702,0.20939330666912825,0.5474110460504131,0.7414713180789139,0.7424290934098154,0.5750286473305808
6,26.908685288118868,-0.565388468560151,-0.15357062344712824,0.39259649914633665,0.7118811884300134,0.8499201396846001,0.7560405873902407,0.5098552188923517
7,28.508758980490857,-0.4373280917610164,0.0030363452821362547,0.5281579497089512,0.7973748294300462,0.8729785894256634,0.7070330193180236,0.41909372167331105
8,28.508758980490857,-0.2620138015208232,0.20414587907754211,0.69928272560838,0.9034555282507015,0.8982711407264912,0.6340056826409233,0.27361166120562186
9,30.20397800581419,-0.09006856990758083,0.3642752447006543,0.7997565908626196,0.9380362844268675,0.8679952536559172,0.5404813791701444,0.1434297994146323
10,30.20397800581419,0.10133606262601003,0.5320109303169198,0.8928404990452894,0.9557516999054656,0.8122125457148701,0.41693612610226394,-0.020036645148394427
