cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        9             134       0   0.009  0.199   2120     1.542          13.3        83.3        70.0      45.3      69.8
       10             134       0   0.024  0.323   5120     1.414           8.6        79.3        70.7      98.7      69.8
       11             127       0   0.010  0.356   2516     4.757           6.2        93.8       100.0      16.0      76.1
       12             131       0   0.001  0.096   2440     1.297          90.0        90.0         0.0     117.4      90.5
       13             113       1   0.110  0.339   4208     1.189           1.6       131.2       132.8      22.6      19.0
       14             122       0   0.001  0.025    492     1.189          20.0        90.0       110.0      83.0      98.7
       15             120       1   0.077  0.458   2440     1.189           4.0       120.9       117.0      17.4      20.7
       16             124       0   0.074  0.255   3728     1.542           1.2        90.0        91.2      53.8      83.0
       17             126       0   0.000  0.036    292     2.181          50.0       100.0        50.0      45.3      98.7
       18             131       0   0.000  0.002     16     1.682          90.0        90.0         0.0      49.4      83.0
       19             113       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       20             113       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       21             124       0   0.077  0.301   4276     1.297           2.0        90.0        92.0     107.6      83.0
       22             136       0   0.007  0.015    120     1.189           1.0       100.0        99.0      38.1      32.0
