L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 0

cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        0          1       1   0.173  0.370  22432     1.091           1.0       103.2       102.3      58.7      53.8
        0          4       0   0.019  0.381   9916     1.542          11.9       103.8        91.9      58.7      38.1
        0         17       0   0.014  0.379   9160     1.000          26.6       104.4       130.9      58.7      58.7
        0         10       0   0.011  0.262   6264     1.414          15.9       104.1       120.0      58.7      41.5
        0          0       0   0.009  0.264  23620     1.542          18.8       103.2        84.5      58.7      90.5
        0          9       0   0.006  0.537  14084     2.000          45.2       105.0        59.9      58.7     117.4
        0          2       0   0.005  0.201  13740     1.414          25.2       104.2        79.1      58.7      41.5
        0          3       0   0.005  0.249  11492     1.297          35.3       104.2        68.8      58.7      45.3
        0         20       0   0.004  0.387   9448     1.414          67.4       102.5        35.1      58.7      83.0
        0          8       0   0.003  0.287   6976     2.000          40.4       101.9       142.3      58.7     117.4
        0         13       0   0.003  0.027   1224     1.834           4.0       102.9       106.9      58.7     107.6
        0          6       0   0.003  0.217   5156     2.181          38.0       104.9        66.9      58.7      26.9
        0          5       0   0.001  0.032   1088     1.189          28.3       108.3        80.0      58.7      69.8
        0         19       0   0.001  0.001     32     2.000           0.0       100.0       100.0      69.8      34.9
        0         16       0   0.000  0.010    316     1.000          40.9       109.3        68.3      58.7      58.7
        0          7       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         11       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         12       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         14       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         15       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         18       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         21       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        0         22       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         19       0   0.016  0.191   1408     1.297           8.1       101.8       109.9      26.9      34.9
        1          4       0   0.004  0.057    960     1.353          10.0       100.0        90.0      28.1      38.1
        1          1       0   0.002  0.082   4912     2.000          15.9        99.1        83.2      26.9      53.8
        1          2       0   0.002  0.092   5380     2.181          22.4        99.0        76.6      26.9      58.7
        1          5       0   0.001  0.042    684     2.594          10.2        90.2        80.0      26.9      69.8
        1         13       0   0.001  0.067   1748     4.000          13.8        96.2       110.0      26.9     107.6
        1          3       0   0.001  0.072   2652     1.834          38.1       100.4        62.3      29.3      53.8
        1          0       0   0.001  0.061   5428     3.668          17.8        99.0        81.2      26.9      98.7
        1          9       0   0.001  0.105   2104     4.000          40.7       100.7        60.0      26.9     107.6
        1         15       0   0.000  0.000      4     3.084          10.0        90.0       100.0      26.9      83.0
        1          6       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1          7       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1          8       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         10       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         11       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         12       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         14       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         16       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         17       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         18       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         20       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         21       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         22       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
