angle_deg,uncorrected_left_shift_minutes,uncorrected_left_correlation,uncorrected_right_shift_minutes,uncorrected_right_correlation,corrected_left_shift_minutes,corrected_left_correlation,corrected_right_shift_minutes,corrected_right_correlation
0.000000000000000000e+00,-1.320000000000000000e+02,9.616638201210180315e-01,1.320000000000000000e+02,9.616638201210180315e-01,-1.320000000000000000e+02,9.616638201210180315e-01,1.320000000000000000e+02,9.616638201210180315e-01
5.000000000000000000e+00,-1.320000000000000000e+02,9.616614543060657549e-01,1.320000000000000000e+02,9.616614543060657549e-01,-1.320000000000000000e+02,9.616614543060657549e-01,1.320000000000000000e+02,9.616614543060657549e-01
1.000000000000000000e+01,-1.320000000000000000e+02,9.616608442042094973e-01,1.320000000000000000e+02,9.616608442042094973e-01,-1.320000000000000000e+02,9.616608442042094973e-01,1.320000000000000000e+02,9.616608442042094973e-01
1.500000000000000000e+01,-1.320000000000000000e+02,9.616732595337299516e-01,1.320000000000000000e+02,9.616732595337299516e-01,-1.320000000000000000e+02,9.616732595337299516e-01,1.320000000000000000e+02,9.616732595337299516e-01
2.000000000000000000e+01,-1.320000000000000000e+02,9.616807487743320726e-01,1.320000000000000000e+02,9.616807487743320726e-01,-1.320000000000000000e+02,9.616807487743320726e-01,1.320000000000000000e+02,9.616807487743320726e-01
2.500000000000000000e+01,-1.320000000000000000e+02,9.616881532755903184e-01,1.320000000000000000e+02,9.616881532755903184e-01,-1.320000000000000000e+02,9.616881532755903184e-01,1.320000000000000000e+02,9.616881532755903184e-01
3.000000000000000000e+01,-1.320000000000000000e+02,9.616941611311491389e-01,1.320000000000000000e+02,9.616941611311491389e-01,-1.320000000000000000e+02,9.616941611311491389e-01,1.320000000000000000e+02,9.616941611311491389e-01
3.500000000000000000e+01,-1.320000000000000000e+02,9.616922825718307033e-01,1.320000000000000000e+02,9.616922825718307033e-01,-1.320000000000000000e+02,9.616922825718307033e-01,1.320000000000000000e+02,9.616922825718307033e-01
4.000000000000000000e+01,-1.320000000000000000e+02,9.617147431967287829e-01,1.320000000000000000e+02,9.617147431967287829e-01,-1.320000000000000000e+02,9.617147431967287829e-01,1.320000000000000000e+02,9.617147431967287829e-01
4.500000000000000000e+01,-1.320000000000000000e+02,9.617265572911741778e-01,1.320000000000000000e+02,9.617265572911741778e-01,-1.320000000000000000e+02,9.617265572911741778e-01,1.320000000000000000e+02,9.617265572911741778e-01
5.000000000000000000e+01,-1.320000000000000000e+02,9.617311511049829731e-01,1.320000000000000000e+02,9.617311511049829731e-01,-1.320000000000000000e+02,9.617311511049829731e-01,1.320000000000000000e+02,9.617311511049829731e-01
5.500000000000000000e+01,-1.320000000000000000e+02,9.617386937239729150e-01,1.320000000000000000e+02,9.617386937239729150e-01,-1.320000000000000000e+02,9.617386937239729150e-01,1.320000000000000000e+02,9.617386937239729150e-01
6.000000000000000000e+01,-1.320000000000000000e+02,9.617546494946237479e-01,1.320000000000000000e+02,9.617546494946237479e-01,-1.320000000000000000e+02,9.617546494946237479e-01,1.320000000000000000e+02,9.617546494946237479e-01
6.500000000000000000e+01,-1.320000000000000000e+02,9.617679956086638837e-01,1.320000000000000000e+02,9.617679956086638837e-01,-1.320000000000000000e+02,9.617679956086638837e-01,1.320000000000000000e+02,9.617679956086638837e-01
7.000000000000000000e+01,-1.320000000000000000e+02,9.617794488910123007e-01,1.320000000000000000e+02,9.617794488910123007e-01,-1.320000000000000000e+02,9.617794488910123007e-01,1.320000000000000000e+02,9.617794488910123007e-01
7.500000000000000000e+01,-1.320000000000000000e+02,9.617898033700537086e-01,1.320000000000000000e+02,9.617898033700537086e-01,-1.320000000000000000e+02,9.617898033700537086e-01,1.320000000000000000e+02,9.617898033700537086e-01
8.000000000000000000e+01,-1.320000000000000000e+02,9.617874312593355235e-01,1.320000000000000000e+02,9.617874312593355235e-01,-1.320000000000000000e+02,9.617874312593355235e-01,1.320000000000000000e+02,9.617874312593355235e-01
8.500000000000000000e+01,-1.320000000000000000e+02,9.617819297750073160e-01,1.320000000000000000e+02,9.617819297750073160e-01,-1.320000000000000000e+02,9.617819297750073160e-01,1.320000000000000000e+02,9.617819297750073160e-01
9.000000000000000000e+01,-1.320000000000000000e+02,9.617728206914777367e-01,1.320000000000000000e+02,9.617728206914777367e-01,-1.320000000000000000e+02,9.617728206914777367e-01,1.320000000000000000e+02,9.617728206914777367e-01
9.500000000000000000e+01,-1.320000000000000000e+02,9.617567624665193105e-01,1.320000000000000000e+02,9.617567624665193105e-01,-1.320000000000000000e+02,9.617567624665193105e-01,1.320000000000000000e+02,9.617567624665193105e-01
1.000000000000000000e+02,-1.320000000000000000e+02,9.617430799268812391e-01,1.320000000000000000e+02,9.617430799268812391e-01,-1.320000000000000000e+02,9.617430799268812391e-01,1.320000000000000000e+02,9.617430799268812391e-01
1.050000000000000000e+02,-1.320000000000000000e+02,9.617350215249999001e-01,1.320000000000000000e+02,9.617350215249999001e-01,-1.320000000000000000e+02,9.617350215249999001e-01,1.320000000000000000e+02,9.617350215249999001e-01
