cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      113             506       0   0.005  0.302   2780     1.834          29.0        95.1       124.0      24.7      45.3
      114             527       0   0.000  0.030     92     3.084          20.0        10.0       170.0      17.4      53.8
      115             455       1   0.160  0.609  10212     1.091           2.5        22.6        20.1      64.0      58.7
      116             455       1   0.091  0.559  12624     1.189           4.2        15.2        19.4      69.8      58.7
      117             542       0   0.012  0.242    472     3.364           5.3       125.3       120.0      16.0      53.8
      118             506       0   0.012  0.283   3208     1.091          21.0       102.9       123.9      49.4      45.3
      119             487       0   0.035  0.376   1600     1.414           6.7        30.1        36.7      22.6      32.0
      120             511       0   0.006  0.435   1940     1.091          71.1        80.0         8.9      38.1      41.5
      121             501       0   0.038  0.165   2000     2.000           1.2        21.0        22.2      69.8      34.9
      122             489       1   0.038  0.273   1368     1.091           5.6       101.2        95.6      22.6      24.7
      123             527       0   0.001  0.123    280     3.364          36.4        26.4       170.0      16.0      53.8
      124             460       1   0.095  0.478    640     1.000           4.0       170.0       166.0      19.0      19.0
      125             506       0   0.005  0.334   1076     2.378          28.0        96.3       124.3      19.0      45.3
      126             458       1   0.010  0.095   3056     1.000           8.2        92.6       100.8      90.5      90.5
      127             465       1   0.605  0.605    520     1.000           0.0         0.0         0.0      17.4      17.4
      128             510       0   0.001  0.117    352     4.000          28.7        91.3       120.0      16.0      64.0
