image_index,dominant_wavelength_km,dominant_theta_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,28.508758980490857,175.0,-0.6529102259131789,-0.01101023004144941,0.7095846195823572,1.0,0.6862083579270717,-0.0906181608947072,-0.7759375125156502
1,28.508758980490857,175.0,-0.652369354751515,-0.007163232416609211,0.7122840735905269,1.0,0.683869753341614,-0.09127538297195847,-0.7740754429348559
2,28.508758980490857,175.0,-0.6835643788646296,-0.03367968584742742,0.7013275167606712,0.9986272517665935,0.6967856158677048,-0.07157734172085617,-0.7692943395349428
3,28.508758980490857,175.0,-0.6859514678547516,-0.04324287552399353,0.6935060668304696,1.0,0.7105646829496048,-0.05120282686087474,-0.7573892341136004
4,28.508758980490857,175.0,-0.671646416249435,-0.05376655726491353,0.6752749656324855,0.9987818434414237,0.7249451582501176,-0.03035398486430041,-0.743798945403136
5,30.20397800581419,175.0,-0.6840471189525655,-0.08238680627356387,0.6517903277646331,0.9944907095818643,0.7415018346360533,-0.006565044299311817,-0.7293749044275182
6,30.20397800581419,175.0,-0.7054270173027224,-0.10454522310730352,0.6504069662441907,0.9978779885147524,0.7381206783742178,-0.022660620118488572,-0.7436988753507622
7,30.20397800581419,175.0,-0.7048466666086117,-0.10547351575977715,0.6477657220390323,0.9981211574685676,0.7371015859828776,-0.026696036346919305,-0.7487737997240239
8,28.508758980490857,175.0,-0.7394411147559292,-0.13628073403270324,0.6418347450010178,0.99779398150293,0.7267253225679138,-0.05192107586854333,-0.7705472118031611
9,30.20397800581419,175.0,-0.7173717201948786,-0.11405111692458547,0.6469809342248696,0.998642807523314,0.7318829980531771,-0.03803702367315165,-0.756727905253137
10,28.508758980490857,175.0,-0.7087877652873558,-0.10875856164817921,0.6434950216961626,0.9982936435834917,0.7367609223922957,-0.02928911206220497,-0.7503722642490112
11,28.508758980490857,175.0,-0.7910895237547765,-0.20576604773156904,0.6079871934929313,0.9934828833904175,0.7296082795697871,-0.05966043772752749,-0.7757855205032268
12,30.20397800581419,175.0,-0.7608340187959106,-0.19172412718296117,0.5886016894484867,0.9888558878089047,0.7674761843789584,0.008147126803280447,-0.7354193560345867
13,30.20397800581419,175.0,-0.7783536375331042,-0.2105411510023043,0.5828225412168313,0.9881898306043007,0.7690815345871163,0.007631776048938832,-0.7376631923189081
14,30.20397800581419,175.0,-0.7785994589031907,-0.20708117306077933,0.5787075780454269,0.9875427662626344,0.776724728505342,0.023423910102630785,-0.7239052601471216
15,30.20397800581419,175.0,-0.7852091380624766,-0.22346460242235433,0.566533720439848,0.9854007826422007,0.7869033306246638,0.03716833939176212,-0.7160395575379959
16,30.20397800581419,175.0,-0.7722529744529675,-0.17506684929391192,0.6064107442541653,0.991998608988824,0.7741853867696715,0.027674429921939803,-0.7140005137346281
17,30.20397800581419,175.0,-0.7859482630983595,-0.19134279453878134,0.5987327174599628,0.9904342682719991,0.7798351283348532,0.03590032632379603,-0.7088219449523713
18,30.20397800581419,175.0,-0.8325818517138558,-0.26684397653220393,0.5666632868059351,0.9828597119088327,0.7566367664100817,-0.022906059460727657,-0.7531065439164103
19,30.20397800581419,175.0,-0.826678248326228,-0.2622955296613255,0.5657020586026424,0.9794876746125287,0.7519499746007883,-0.029481775544088706,-0.750804907627343
20,30.20397800581419,175.0,-0.8452698228207581,-0.2895358087831571,0.5356358877421774,0.9783145769656818,0.8109059892253674,0.07656989940325976,-0.6833383348815619
21,30.20397800581419,175.0,-0.9494884594551197,-0.49322317647755687,0.4256616217962035,0.9677213069194501,0.7683573500966812,-0.07250319538591421,-0.7992503427162027
22,30.20397800581419,175.0,-0.8654960549590955,-0.33074426812187263,0.5107607761423123,0.9747487130538108,0.812004027434283,0.0650323692414283,-0.6954258441538289
23,30.20397800581419,175.0,-0.8225928941995939,-0.34621127326117795,0.5049450082837186,0.9329998588222033,0.6692005092883642,-0.15497651653401745,-0.8087380747924923
24,30.20397800581419,175.0,-0.8229587080998171,-0.26963518232324857,0.5514626205924864,0.9701866994619741,0.7454522960572212,-0.032055440651034606,-0.7490933163770899
25,30.20397800581419,175.0,-0.8466882174394039,-0.32253649104111826,0.5221467586451822,0.9685861707473529,0.732695391164939,-0.07469174751504815,-0.7732373244686834
26,30.20397800581419,175.0,-0.8516608806549062,-0.32557639867029353,0.5157565202803422,0.9696209426145799,0.7595013116040594,-0.030940608138401604,-0.754834964831924
27,30.20397800581419,175.0,-0.8383904205311834,-0.29330604985278264,0.5260115784339345,0.9745965138176709,0.8051823893801009,0.061659128929036466,-0.6908495493415495
28,30.20397800581419,175.0,-0.8510182395587335,-0.3246739465182955,0.5021508422820173,0.9713377623986712,0.8066628289145601,0.0536794115039978,-0.6987471362213133
29,30.20397800581419,175.0,-0.8568014254152503,-0.3388588261017623,0.49146344711864587,0.9673570448490882,0.8082938147325425,0.054132954609793504,-0.7007454558123691
30,30.20397800581419,175.0,-0.8481570726733046,-0.31425034250611517,0.5032872381789069,0.9699250283980432,0.8200977995825429,0.0860473998530531,-0.6731146813724981
31,30.20397800581419,175.0,-0.8578620670678765,-0.3339021521646416,0.49446793423110424,0.9690882713838911,0.8172298110625678,0.07373859876762823,-0.6853306176069758
32,30.20397800581419,175.0,-0.8602569286287329,-0.33956056553795244,0.48720184284548895,0.9667301601853857,0.8312729705066391,0.0996500532965674,-0.6623037463487522
33,30.20397800581419,175.0,-0.8120627630033324,-0.24635074672065937,0.532345083563059,0.973054814013196,0.8385014349373754,0.14729028290933455,-0.6135517464737732
34,30.20397800581419,175.0,-0.758706055850063,-0.16680286603848082,0.5742945692393207,0.9823410329615043,0.8207747029856314,0.1264195968570334,-0.62265088445995
35,30.20397800581419,175.0,-0.7084280821216136,-0.12080130697185554,0.5886259335844302,0.9740338512147864,0.8262181433336748,0.15937759655618877,-0.5796089201533163
36,30.20397800581419,175.0,-0.7496637685354012,-0.16172174150010532,0.5731962054907553,0.9806270852218557,0.825150461239136,0.13668258614650286,-0.6058123820829064
37,30.20397800581419,175.0,-0.6897400800338931,-0.09305919094010351,0.6070093762170421,0.9759292132487203,0.8226314003939854,0.15727380050448803,-0.5756618908136206
38,30.20397800581419,175.0,-0.6812137493698419,-0.07424797512924397,0.6195271829686011,0.977727690952165,0.8199390413000749,0.1548667947023743,-0.5739616346217931
39,30.20397800581419,175.0,-0.6498757687854215,-0.04550124722942828,0.6287796561242553,0.9685351897471484,0.8095915818587844,0.15162849215309926,-0.5665665764994494
40,30.20397800581419,175.0,-0.6482494189743402,-0.04575905497421395,0.6269634765564822,0.967248105419446,0.8106599026378918,0.15754328374146453,-0.5604127169497217
